Área Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,,,,,,,,,,,,,
,,Hogares,,,,,,,,,,,,,,,,,,,,
,,Hogares (Hogares),,,,,,,,,,,Población en hogares (Hogares),,,,,,,,,
,,Sexo del jefe,,,Tamaño localidad 15 tam,,,,,,,,Sexo del jefe,,,Tamaño localidad 15 tam,,,,,,
Clave,Nombre,Total,Hombres,Mujeres,Total,"Menos de 2,500 habitantes",1 a 49  habitantes,50 a 99  habitantes,100 a 499 habitantes,500 a 999 habitantes,"1,000 a 1,999 habitantes","2,000 a 2,499 habitantes",Total,Hombres,Mujeres,Total,"Menos de 2,500 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas
13056,Santiago Tulantepec de Lugo Guerrero,3469,2847,622,3469,1095,,29,228,245,593,,17721,15018,2703,17721,5777,11944,,,,
13057,Singuilucan,2252,1952,300,2252,1711,213,262,808,250,178,,11953,10652,1301,11953,9110,2843,,,,
13058,Tasquillo,2833,2245,588,2833,2833,,18,1002,837,514,462,14899,12464,2435,14899,14899,,,,,
13059,Tecozautla,4946,3980,966,4946,4019,53,60,1106,1238,1562,,26727,22624,4103,26727,21974,4753,,,,
13060,Tenango de Doria,2756,2202,554,2756,2756,33,142,1454,365,762,,14795,12336,2459,14795,14795,,,,,
13061,Tepeapulco,9884,8357,1527,9884,1238,79,49,438,397,275,,46561,40805,5756,46561,6051,12682,27828,,,
13062,Tepehuacán de Guerrero,4370,3937,433,4370,4370,82,100,948,2028,1212,,21809,20170,1639,21809,21809,,,,,
13063,Tepeji del Río de Ocampo,9924,8557,1367,9924,3823,39,72,402,579,1918,813,49990,44404,5586,49990,20033,5574,24383,,,
13064,Tepetitlán,1590,1244,346,1590,1590,4,55,510,758,263,,7252,6000,1252,7252,7252,,,,,
13065,Tetepango,1260,1072,188,1260,263,,,,263,,,6705,5895,810,6705,1442,5263,,,,
13066,Villa de Tezontepec,1425,1202,223,1425,544,1,22,123,86,312,,7262,6324,938,7262,2933,4329,,,,
13067,Tezontepec de Aldama,5822,4982,840,5822,916,21,20,56,237,582,,30855,27285,3570,30855,5157,5824,19874,,,
13068,Tianguistengo,2902,2388,514,2902,2902,68,195,1739,584,316,,13068,11416,1652,13068,13068,,,,,
13069,Tizayuca,6209,5433,776,6209,1056,40,1,273,257,,485,29610,26614,2996,29610,5246,2450,21914,,,
13070,Tlahuelilpan,2183,1839,344,2183,350,10,,54,,286,,11273,9770,1503,11273,1926,9347,,,,
13071,Tlahuiltepa,2320,1897,423,2320,2320,148,341,1350,481,,,10465,9055,1410,10465,10465,,,,,
13072,Tlanalapa,1856,1615,241,1856,610,39,12,68,126,365,,8930,7988,942,8930,2575,6355,,,,
13073,Tlanchinol,5482,4764,718,5482,4844,28,101,1566,2185,964,,27619,24944,2675,27619,24578,3041,,,,
13074,Tlaxcoapan,3291,2900,391,3291,112,,,,112,,,17982,16180,1802,17982,595,17387,,,,
13075,Tolcayuca,1519,1304,215,1519,626,9,,35,269,313,,7560,6633,927,7560,3064,4496,,,,
13076,Tula de Allende,14939,12469,2470,14939,4675,57,32,770,1165,1725,926,72149,62380,9769,72149,23598,25238,23313,,,
13077,Tulancingo de Bravo,18207,14446,3761,18207,1797,11,47,700,298,741,,90947,75108,15839,90947,9776,7194,73977,,,
13078,Xochiatipan,2690,2382,308,2690,2690,17,27,1291,640,715,,14148,12821,1327,14148,14148,,,,,
13079,Xochicoatlán,1763,1470,293,1763,1763,15,79,862,517,290,,7882,7004,878,7882,7882,,,,,
13080,Yahualica,3514,2954,560,3514,3058,,37,1002,718,1301,,18052,15839,2213,18052,15320,2732,,,,
13081,Zacualtipán de Ángeles,4169,3217,952,4169,1827,37,129,550,1111,,,19361,15768,3593,19361,8204,11157,,,,
13082,Zapotlán de Juárez,2269,1956,313,2269,5,5,,,,,,11321,10143,1178,11321,17,11304,,,,
13083,Zempoala,4268,3546,722,4268,3355,154,23,425,942,1811,,21019,18092,2927,21019,16583,4436,,,,
13084,Zimapán,6354,4962,1392,6354,4591,110,227,2308,1351,595,,33969,27882,6087,33969,25560,8409,,,,
13996,No especificado,,,,,,,,,,,,,,,,,,,,,
13997,Otros estados,,,,,,,,,,,,,,,,,,,,,
13998,Otros municipios,,,,,,,,,,,,,,,,,,,,,
14,Jalisco,1037732,845866,191866,1037732,183985,16661,13302,62196,34656,42455,14715,5180212,4427845,752367,5180212,950488,747545,761230,1103295,1617654,
14001,Acatic,3053,2412,641,3053,1364,170,229,523,147,295,,16340,13719,2621,16340,7565,8775,,,,
14002,Acatlán de Juárez,2795,2346,449,2795,441,29,,17,96,299,,14095,12302,1793,14095,2266,11829,,,,
14003,Ahualulco de Mercado,3681,2992,689,3681,1195,25,13,137,,562,458,17240,14908,2332,17240,5695,11545,,,,
14004,Amacueca,1055,806,249,1055,467,52,49,56,,310,,5014,4178,836,5014,2338,2676,,,,
14005,Amatitán,1913,1594,319,1913,635,51,42,256,286,,,9901,8617,1284,9901,3277,6624,,,,
14006,Ameca,10966,8918,2048,10966,4652,65,113,1631,948,847,1048,53543,46110,7433,53543,23225,,30318,,,
14007,San Juanito de Escobedo,1744,1373,371,1744,743,7,12,208,303,213,,8122,6833,1289,8122,3610,4512,,,,
14008,Arandas,11468,9500,1968,11468,3653,686,766,1688,308,205,,62463,54724,7739,62463,21458,10557,30448,,,
14009,EL Arenal,2193,1841,352,2193,827,41,,61,,725,,11520,10086,1434,11520,4112,7408,,,,
14010,Atemajac de Brizuela,961,792,169,961,238,32,47,159,,,,5053,4435,618,5053,1280,3773,,,,
14011,Atengo,1134,913,221,1134,1134,41,26,362,,705,,5486,4756,730,5486,5486,,,,,
14012,Atenguillo,1009,799,210,1009,1009,114,58,308,173,356,,4483,3813,670,4483,4483,,,,,
14013,Atotonilco el Alto,8667,7130,1537,8667,3458,127,258,881,1052,678,462,45575,39607,5968,45575,18279,4086,23210,,,
14014,Atoyac,1810,1369,441,1810,674,31,52,191,400,,,8075,6583,1492,8075,3122,4953,,,,
14015,Autlán de Navarro,9460,7630,1830,9460,2534,169,94,803,597,419,452,45756,38670,7086,45756,12387,,33369,,,
14016,Ayotlán,5644,4676,968,5644,2614,96,215,734,939,269,361,30363,26577,3786,30363,14332,16031,,,,
14017,Ayutla,2775,2233,542,2775,1410,211,123,710,366,,,13609,11685,1924,13609,7030,6579,,,,
14018,La Barca,10026,8199,1827,10026,4060,47,13,483,843,2301,373,52212,44946,7266,52212,22154,5464,24594,,,
14019,Bolaños,1165,1015,150,1165,1165,438,75,194,241,217,,6157,5544,613,6157,6157,,,,,
14020,Cabo Corrientes,1687,1468,219,1687,1687,162,218,699,211,397,,7999,7163,836,7999,7999,,,,,
14021,Casimiro Castillo,4328,3623,705,4328,833,31,26,235,320,221,,20968,18377,2591,20968,4298,16670,,,,
14022,Cihuatlán,5046,4172,874,5046,1355,62,41,201,319,292,440,24334,20805,3529,24334,6823,17511,,,,
14023,Zapotlán el Grande,15064,12310,2754,15064,312,33,16,85,178,,,73333,62937,10396,73333,1421,,71912,,,
14024,Cocula,4916,3904,1012,4916,2512,,41,301,644,1122,404,24306,20513,3793,24306,12663,11643,,,,
14025,Colotlán,3210,2515,695,3210,1147,85,163,899,,,,15603,13104,2499,15603,5665,9938,,,,
14026,Concepción de Buenos Aires,1162,920,242,1162,237,37,27,173,,,,5267,4535,732,5267,1145,4122,,,,
14027,Cuautitlán de García Barragán,2563,2123,440,2563,2563,159,242,747,579,836,,13050,11453,1597,13050,13050,,,,,
14028,Cuautla,592,474,118,592,592,53,47,153,,339,,2903,2523,380,2903,2903,,,,,
14029,Cuquío,3264,2684,580,3264,2527,212,231,1422,662,,,17213,14906,2307,17213,13644,3569,,,,
14030,Chapala,7333,5953,1380,7333,1525,57,,399,,1069,,35208,30124,5084,35208,6312,13455,15441,,,
14031,Chimaltitán,699,544,155,699,699,186,80,284,149,,,3302,2753,549,3302,3302,,,,,
14032,Chiquilistlán,943,767,176,943,390,44,23,198,125,,,4799,4160,639,4799,2029,2770,,,,
14033,Degollado,3780,3100,680,3780,2009,156,192,1139,246,276,,20224,17419,2805,20224,11009,9215,,,,
14034,Ejutla,510,368,142,510,510,27,23,160,,300,,2205,1724,481,2205,2205,,,,,
14035,Encarnación de Díaz,7862,6427,1435,7862,3771,588,494,930,253,1113,393,42001,36322,5679,42001,20896,2570,18535,,,
14036,Etzatlán,3142,2551,591,3142,932,67,19,95,294,,457,15656,13447,2209,15656,4572,11084,,,,
14037,El Grullo,4118,3342,776,4118,481,24,10,286,161,,,19611,16731,2880,19611,2254,,17357,,,
14038,Guachinango,1086,890,196,1086,1086,134,103,468,,381,,5257,4495,762,5257,5257,,,,,
14039,Guadalajara,332562,264121,68441,332562,34,,15,19,,,,1617817,1350445,267372,1617817,163,,,,1617654,
14040,Hostotipaquillo,1559,1303,256,1559,1010,77,43,624,266,,,8019,7110,909,8019,5258,2761,,,,
14041,Huejúcar,1563,1182,381,1563,803,57,148,370,228,,,7198,5819,1379,7198,3709,3489,,,,
14042,Huejuquilla el Alto,1890,1451,439,1890,1172,129,200,691,152,,,9871,8051,1820,9871,6193,3678,,,,
14043,La Huerta,4208,3507,701,4208,2945,125,213,999,1247,361,,20364,17633,2731,20364,14508,5856,,,,
14044,Ixtlahuacán de los Membrillos,3195,2706,489,3195,1450,50,38,231,153,978,,16304,14340,1964,16304,7552,8752,,,,
14045,Ixtlahuacán del Río,3616,3038,578,3616,2699,259,227,1020,281,519,393,19417,17082,2335,19417,14622,4795,,,,
14046,Jalostotitlán,4682,3764,918,4682,1167,285,265,428,189,,,24293,20861,3432,24293,6398,,17895,,,
14047,Jamay,3659,3058,601,3659,961,4,14,,88,,855,18886,16626,2260,18886,5043,13843,,,,
14048,Jesús María,3521,2950,571,3521,2353,300,528,945,,580,,19572,17311,2261,19572,13151,6421,,,,
14049,Jilotlán de los Dolores,1563,1337,226,1563,1563,303,182,420,,658,,8533,7657,876,8533,8533,,,,,
14050,Jocotepec,5814,4753,1061,5814,1911,43,,112,152,1604,,30418,26205,4213,30418,10048,20370,,,,
14051,Juanacatlán,1967,1639,328,1967,639,4,,325,121,189,,9937,8672,1265,9937,3381,6556,,,,
14052,Juchitlán,1287,1043,244,1287,492,47,92,171,182,,,6100,5292,808,6100,2500,3600,,,,
14053,Lagos de Moreno,18618,15497,3121,18618,6644,675,631,2345,1802,829,362,104427,90537,13890,104427,38987,2775,62665,,,
14054,El Limón,1633,1239,394,1633,844,2,35,205,286,316,,6448,5269,1179,6448,3361,3087,,,,
14055,Magdalena,2924,2344,580,2924,864,6,10,154,184,510,,15241,12968,2273,15241,4340,10901,,,,
14056,Santa María del Oro,572,474,98,572,572,177,23,214,158,,,2731,2410,321,2731,2731,,,,,
14057,La Manzanilla de la Paz,759,583,176,759,759,17,43,68,107,,524,3524,2921,603,3524,3524,,,,,
14058,Mascota,2964,2292,672,2964,1391,314,125,698,254,,,13709,11392,2317,13709,6463,7246,,,,
14059,Mazamitla,2016,1575,441,2016,874,92,108,537,137,,,9995,8391,1604,9995,4683,5312,,,,
14060,Mexticacán,1476,1081,395,1476,781,125,102,554,,,,6708,5217,1491,6708,3560,3148,,,,
14061,Mezquitic,2618,2207,411,2618,2618,639,363,1173,,,443,13501,11835,1666,13501,13501,,,,,
14062,Mixtlán,795,635,160,795,795,44,36,174,171,370,,3828,3252,576,3828,3828,,,,,
14063,Ocotlán,14104,11836,2268,14104,1491,41,26,496,352,576,,68996,60400,8596,68996,7028,,61968,,,
14064,Ojuelos de Jalisco,4229,3400,829,4229,2898,79,69,632,274,1449,395,23049,19456,3593,23049,15928,7121,,,,
14065,Pihuamo,3373,2782,591,3373,1594,346,145,682,421,,,16277,14209,2068,16277,7986,8291,,,,
14066,Poncitlán,5892,4863,1029,5892,2051,40,50,491,356,1114,,31628,27324,4304,31628,11039,20589,,,,
14067,Puerto Vallarta,22548,18620,3928,22548,762,55,35,576,96,,,105063,89160,15903,105063,3875,13742,87446,,,
14068,Villa Purificación,2566,2114,452,2566,1657,335,168,848,306,,,12601,11036,1565,12601,8322,4279,,,,
14069,Quitupan,2558,1867,691,2558,2558,153,161,1005,388,341,510,12626,10000,2626,12626,12626,,,,,
14070,El Salto,7161,6245,916,7161,721,30,,325,86,280,,37497,33602,3895,37497,3939,33558,,,,
14071,San Cristóbal de la Barranca,819,707,112,819,819,157,134,356,172,,,4630,4193,437,4630,4630,,,,,
14072,San Diego de Alejandría,1080,926,154,1080,463,200,191,72,,,,5987,5386,601,5987,2489,3498,,,,
14073,San Juan de los Lagos,8154,6683,1471,8154,2029,375,265,1230,159,,,45355,39198,6157,45355,11824,,33531,,,
14074,San Julián,2355,1901,454,2355,456,148,97,127,84,,,12997,11180,1817,12997,2845,10152,,,,
14075,San Marcos,652,513,139,652,66,42,,24,,,,3116,2627,489,3116,349,2767,,,,
14076,San Martín de Bolaños,722,589,133,722,722,147,106,90,,379,,3537,3055,482,3537,3537,,,,,
14077,San Martín Hidalgo,5714,4459,1255,5714,2358,1,19,684,499,227,928,26341,21939,4402,26341,11097,15244,,,,
14078,San Miguel el Alto,4369,3562,807,4369,1057,337,199,355,166,,,23279,20194,3085,23279,6083,,17196,,,
14079,Gómez Farías,2275,1820,455,2275,341,28,27,109,177,,,11629,9857,1772,11629,1705,9924,,,,
14080,San Sebastián del Oeste,1371,1129,242,1371,1371,172,80,584,272,263,,6753,5843,910,6753,6753,,,,,
14081,Santa María de los Ángeles,1073,794,279,1073,1073,30,21,459,563,,,4774,3784,990,4774,4774,,,,,
14082,Sayula,5410,4255,1155,5410,139,45,16,78,,,,27532,22826,4706,27532,628,5541,21363,,,
14083,Tala,9047,7615,1432,9047,2082,68,22,304,,1264,424,44918,39643,5275,44918,10381,10275,24262,,,
14084,Talpa de Allende,2386,1920,466,2386,1147,294,83,546,224,,,12445,10529,1916,12445,6370,6075,,,,
14085,Tamazula de Gordiano,8409,6774,1635,8409,3676,345,275,1453,783,820,,40783,34791,5992,40783,18494,6165,16124,,,
14086,Tapalpa,2239,1877,362,2239,1406,74,100,786,106,340,,11978,10651,1327,11978,7659,4319,,,,
14087,Tecalitlán,3612,2960,652,3612,899,370,144,191,194,,,17835,15375,2460,17835,4720,13115,,,,
14088,Tecolotlán,3270,2624,646,3270,1728,75,58,487,237,871,,15376,13126,2250,15376,8470,6906,,,,
14089,Techaluta de Montenegro,649,493,156,649,649,18,11,42,138,,440,3168,2562,606,3168,3168,,,,,
14090,Tenamaxtlán,1485,1126,359,1485,617,36,,225,356,,,6384,5248,1136,6384,2675,3709,,,,
14091,Teocaltiche,7181,5622,1559,7181,2713,188,194,1517,415,399,,36088,30156,5932,36088,14030,2582,19476,,,
14092,Teocuitatlán de Corona,2642,2031,611,2642,1753,34,26,674,405,614,,12594,10260,2334,12594,8546,4048,,,,
14093,Tepatitlán de Morelos,17270,14102,3168,17270,3709,547,491,1340,314,,1017,91328,78782,12546,91328,20637,17512,53179,,,
14094,Tequila,5191,4316,875,5191,1812,340,189,662,318,303,,27842,24266,3576,27842,10386,,17456,,,
14095,Teuchitlán,1605,1285,320,1605,920,4,15,,229,672,,7406,6246,1160,7406,4322,3084,,,,
14096,Tizapán el Alto,3761,2978,783,3761,695,15,34,226,420,,,19293,16127,3166,19293,3256,16037,,,,
14097,Tlajomulco de Zúñiga,12526,10902,1624,12526,4066,279,37,418,1065,1920,347,66439,59692,6747,66439,20839,45600,,,,
14098,Tlaquepaque,62097,52945,9152,62097,258,10,21,59,168,,,333884,292744,41140,333884,1404,9816,,322664,,
14099,Tolimán,1751,1431,320,1751,1249,58,41,389,412,349,,8884,7739,1145,8884,6247,2637,,,,
14100,Tomatlán,5667,4872,795,5667,4319,266,194,1186,997,1270,406,30441,27052,3389,30441,23696,6745,,,,
14101,Tonalá,29023,25149,3874,29023,1246,56,15,326,508,341,,154579,136972,17607,154579,6768,4442,,143369,,
14102,Tonaya,1380,1053,327,1380,703,31,,537,135,,,6638,5420,1218,6638,3502,3136,,,,
14103,Tonila,1607,1314,293,1607,183,8,,175,,,,7464,6431,1033,7464,864,6600,,,,
14104,Totatiche,1401,1043,358,1401,1401,162,170,299,,334,436,6406,5152,1254,6406,6406,,,,,
14105,Tototlán,3556,2927,629,3556,1725,59,87,867,519,193,,18522,16047,2475,18522,9355,9167,,,,
14106,Tuxcacuesco,864,722,142,864,864,19,32,563,,250,,4319,3825,494,4319,4319,,,,,
14107,Tuxcueca,1149,869,280,1149,598,21,37,159,107,274,,5507,4471,1036,5507,2789,2718,,,,
14108,Tuxpan,6747,5676,1071,6747,1841,99,79,516,480,667,,34501,30301,4200,34501,8884,,25617,,,
14109,Unión de San Antonio,2741,2114,627,2741,1850,259,232,750,205,404,,14883,12196,2687,14883,10166,4717,,,,
14110,Unión de Tula,2905,2317,588,2905,1165,65,23,712,98,267,,13846,11707,2139,13846,5528,8318,,,,
14111,Valle de Guadalupe,1063,841,222,1063,313,181,110,22,,,,5380,4582,798,5380,1790,3590,,,,
14112,Valle de Juárez,1143,879,264,1143,435,92,34,173,136,,,5386,4400,986,5386,2164,3222,,,,
14113,San Gabriel,2860,2309,551,2860,2021,97,35,650,404,835,,14193,12171,2022,14193,10133,4060,,,,
14114,Villa Corona,3136,2506,630,3136,688,,12,158,140,,378,15359,13002,2357,15359,3552,11807,,,,
14115,Villa Guerrero,1385,1045,340,1385,526,149,201,176,,,,6280,5072,1208,6280,2603,3677,,,,
14116,Villa Hidalgo,2400,2018,382,2400,840,95,25,391,,329,,12762,11233,1529,12762,4220,8542,,,,
14117,Cañadas de Obregón,1135,851,284,1135,1135,124,52,407,,,552,5093,4090,1003,5093,5093,,,,,
14118,Yahualica de González Gallo,4646,3566,1080,4646,1641,251,160,676,,554,,21203,17458,3745,21203,7934,13269,,,,
14119,Zacoalco de Torres,5046,4047,999,5046,2261,10,,347,572,845,487,24549,20865,3684,24549,10540,14009,,,,
14120,Zapopan,140821,117097,23724,140821,3387,341,104,751,1258,463,470,679904,587548,92356,679904,17908,24734,,637262,,
14121,Zapotiltic,5604,4532,1072,5604,908,37,43,267,561,,,27772,23715,4057,27772,4540,2874,20358,,,
14122,Zapotitlán de Vadillo,1324,1015,309,1324,1324,59,103,445,217,,500,6242,5235,1007,6242,6242,,,,,
14123,Zapotlán del Rey,2822,2325,497,2822,2228,38,81,657,428,1024,,14198,12247,1951,14198,11461,2737,,,,
14124,Zapotlanejo,7476,6261,1215,7476,3596,303,301,1691,738,563,,39386,34567,4819,39386,19230,2646,17510,,,
14125,San Ignacio Cerro Gordo,,,,,,,,,,,,,,,,,,,,,
14996,No especificado,,,,,,,,,,,,,,,,,,,,,
14997,Otros estados,,,,,,,,,,,,,,,,,,,,,
14998,Otros municipios,,,,,,,,,,,,,,,,,,,,,
15,México,1903329,1618200,285129,1903329,274419,3083,4927,66766,72146,95736,31761,9635450,8416328,1219122,9635450,1505405,1260888,837827,3598506,2432824,
15001,Acambay de Ruíz Castañeda,8940,7663,1277,8940,7683,23,38,2024,2204,2160,1234,47377,42534,4843,47377,40370,7007,,,,
15002,Acolman,8037,6979,1058,8037,868,7,,43,134,301,383,41769,36965,4804,41769,4518,12301,24950,,,
15003,Aculco,5468,4455,1013,5468,4988,17,30,1548,853,2540,,28656,24361,4295,28656,25714,2942,,,,
15004,Almoloya de Alquisiras,2365,1751,614,2365,2365,,45,1055,503,762,,11914,9405,2509,11914,11914,,,,,
15005,Almoloya de Juárez,14709,12652,2057,14709,9793,7,,1089,2724,5168,805,81471,72114,9357,81471,54107,27364,,,,
15006,Almoloya del Río,1214,999,215,1214,,,,,,,,6573,5633,940,6573,,6573,,,,
15007,Amanalco,2836,2324,512,2836,2836,4,32,288,787,1725,,15351,13213,2138,15351,15351,,,,,
15008,Amatepec,5341,4283,1058,5341,4813,240,360,3217,629,367,,27939,23651,4288,27939,25430,2509,,,,
15009,Amecameca,6859,5737,1122,6859,1505,71,,108,,1326,,35515,30743,4772,35515,7977,2673,24865,,,
15010,Apaxco,3434,3060,374,3434,930,5,,131,398,,396,18322,16639,1683,18322,5058,13264,,,,
15011,Atenco,3784,3336,448,3784,713,15,32,165,236,265,,20966,18898,2068,20966,4096,16870,,,,
15012,Atizapán,937,811,126,937,142,,9,133,,,,5151,4593,558,5151,779,4372,,,,
15013,Atizapán de Zaragoza,65062,56416,8646,65062,26,11,15,,,,,309980,274634,35346,309980,133,,,309847,,
15014,Atlacomulco,9790,8058,1732,9790,4667,29,66,706,1299,2217,350,53102,45569,7533,53102,26253,26849,,,,
15015,Atlautla,3358,2907,451,3358,348,7,,88,253,,,18939,16988,1951,18939,1801,17138,,,,
15016,Axapusco,2978,2590,388,2978,1784,39,26,573,377,329,440,15695,14166,1529,15695,9249,6446,,,,
15017,Ayapango,820,694,126,820,820,48,27,55,294,396,,4186,3664,522,4186,4186,,,,,
15018,Calimaya,4483,3848,635,4483,1083,7,,,470,606,,23964,21251,2713,23964,5796,18168,,,,
15019,Capulhuac,3781,3172,609,3781,850,,51,424,,,375,20682,17955,2727,20682,4610,16072,,,,
15020,Coacalco de Berriozábal,31985,27574,4411,31985,151,,,50,101,,,150443,132652,17791,150443,781,,,149662,,
15021,Coatepec Harinas,5206,4180,1026,5206,4222,2,22,1098,2076,1024,,27607,23418,4189,27607,22478,5129,,,,
15022,Cocotitlán,1535,1293,242,1535,195,,18,,,177,,7940,6877,1063,7940,1057,6883,,,,
15023,Coyotepec,4262,3833,429,4262,329,7,,57,,265,,24181,22117,2064,24181,1660,,22521,,,
15024,Cuautitlán,9852,8420,1432,9852,908,31,56,346,265,210,,48338,42297,6041,48338,4809,2861,40668,,,
15025,Chalco,54710,47562,7148,54710,1433,78,56,150,,356,793,278804,246972,31832,278804,7330,50141,,221333,,
15026,Chapa de Mota,3173,2650,523,3173,2114,9,76,708,934,,387,17304,14998,2306,17304,11562,5742,,,,
15027,Chapultepec,629,531,98,629,13,13,,,,,,3727,3265,462,3727,65,3662,,,,
15028,Chiautla,2676,2299,377,2676,1410,,,165,221,181,843,14595,12896,1699,14595,7697,6898,,,,
15029,Chicoloapan,10951,9483,1468,10951,,,,,,,,56680,50189,6491,56680,,,56680,,,
15030,Chiconcuac,2296,1956,340,2296,72,,,72,,,,13850,12010,1840,13850,387,13463,,,,
15031,Chimalhuacán,44795,39421,5374,44795,1202,5,,246,477,474,,238766,213379,25387,238766,6639,,,232127,,
15032,Donato Guerra,3676,3043,633,3676,2756,2,,373,839,739,803,21366,18322,3044,21366,15695,5671,,,,
15033,Ecatepec de Morelos,242804,209851,32953,242804,,,,,,,,1202840,1059087,143753,1202840,,,,,1202840,
15034,Ecatzingo,1024,885,139,1024,273,11,,,262,,,5755,5161,594,5755,1570,4185,,,,
15035,Huehuetoca,4865,4293,572,4865,1917,15,10,,487,1405,,25151,22674,2477,25151,10209,14942,,,,
15036,Hueypoxtla,4587,4118,469,4587,1277,6,,48,224,999,,25941,23863,2078,25941,7500,18441,,,,
15037,Huixquilucan,25383,21971,3412,25383,3768,12,,707,1152,1897,,129427,114858,14569,129427,20091,37144,72192,,,
15038,Isidro Fabela,940,795,145,940,940,32,12,332,564,,,5098,4523,575,5098,5098,,,,,
15039,Ixtapaluca,26897,23060,3837,26897,1160,69,81,103,,529,378,135643,118247,17396,135643,5987,15057,,114599,,
15040,Ixtapan de la Sal,4574,3713,861,4574,2082,1,,731,611,739,,23261,19799,3462,23261,10841,12420,,,,
15041,Ixtapan del Oro,1033,869,164,1033,1033,9,12,558,257,197,,5454,4816,638,5454,5454,,,,,
15042,Ixtlahuaca,15565,12491,3074,15565,7764,8,30,384,2165,3592,1585,87222,73288,13934,87222,43179,44043,,,,
15043,Xalatlaco,2470,2108,362,2470,958,,12,483,229,234,,13820,12150,1670,13820,5290,8530,,,,
15044,Jaltenco,4423,3932,491,4423,157,14,,143,,,,22552,20389,2163,22552,840,21712,,,,
15045,Jilotepec,10147,8472,1675,10147,8025,48,140,1530,1613,4328,366,52150,45305,6845,52150,41396,10754,,,,
15046,Jilotzingo,1753,1519,234,1753,1171,,27,442,392,310,,8806,7816,990,8806,5802,3004,,,,
15047,Jiquipilco,7927,6309,1618,7927,5597,16,13,1085,2143,1892,448,43111,35984,7127,43111,30422,12689,,,,
15048,Jocotitlán,7426,6127,1299,7426,3413,11,71,1048,1510,773,,38701,33453,5248,38701,17493,21208,,,,
15049,Joquicingo,1381,1195,186,1381,341,,,60,102,179,,7462,6750,712,7462,1993,5469,,,,
15050,Juchitepec,2702,2380,322,2702,9,9,,,,,,14074,12740,1334,14074,49,14025,,,,
15051,Lerma,11938,10317,1621,11938,4955,12,8,366,1071,2763,735,65370,58136,7234,65370,27602,37768,,,,
15052,Malinalco,3225,2716,509,3225,2156,49,51,999,272,785,,16636,14603,2033,16636,11380,5256,,,,
15053,Melchor Ocampo,4768,4182,586,4768,573,22,11,150,,,390,25956,23225,2731,25956,3043,,22913,,,
15054,Metepec,28564,24428,4136,28564,1196,10,,,142,647,397,137656,121153,16503,137656,6435,16791,,114430,,
15055,Mexicaltzingo,1281,1090,191,1281,147,4,,,143,,,7079,6155,924,7079,790,6289,,,,
15056,Morelos,4053,3249,804,4053,2677,11,,604,599,614,849,21596,18253,3343,21596,13579,8017,,,,
15057,Naucalpan de Juárez,160571,132515,28056,160571,1729,41,83,777,194,205,429,758003,646984,111019,758003,9586,4430,,743987,,
15058,Nezahualcóyotl,245236,206005,39231,245236,157,2,,,155,,,1230643,1057905,172738,1230643,659,,,,1229984,
15059,Nextlalpan,1985,1723,262,1985,603,55,16,113,105,314,,10747,9542,1205,10747,3360,7387,,,,
15060,Nicolás Romero,34910,30185,4725,34910,2465,35,,534,595,1301,,180530,158932,21598,180530,13066,24139,,143325,,
15061,Nopaltepec,1030,904,126,1030,1030,4,22,,124,,880,5147,4656,491,5147,5147,,,,,
15062,Ocoyoacac,6586,5760,826,6586,1220,46,29,313,501,331,,36882,33117,3765,36882,6657,12812,17413,,,
15063,Ocuilan,3364,2878,486,3364,3364,11,52,963,612,892,834,18829,16585,2244,18829,18829,,,,,
15064,El Oro,4775,3779,996,4775,4775,3,34,1380,1330,694,1334,25296,21315,3981,25296,25296,,,,,
15065,Otumba,4057,3437,620,4057,2156,62,44,287,254,1066,443,21305,18787,2518,21305,11353,9952,,,,
15066,Otzoloapan,725,614,111,725,725,43,78,349,,255,,3910,3470,440,3910,3910,,,,,
15067,Otzolotepec,6640,5684,956,6640,2927,,8,422,858,1278,361,39077,34346,4731,39077,17150,21927,,,,
15068,Ozumba,3170,2619,551,3170,815,31,9,71,175,529,,17812,15146,2666,17812,4588,13224,,,,
15069,Papalotla,427,356,71,427,427,,,33,,,394,2291,1953,338,2291,2291,,,,,
15070,La Paz,25700,21934,3766,25700,49,,,49,,,,132678,115668,17010,132678,238,,,132440,,
15071,Polotitlán,1909,1634,275,1909,1909,31,61,663,666,,488,9596,8477,1119,9596,9596,,,,,
15072,Rayón,1223,1066,157,1223,295,8,,,,287,,6864,6097,767,6864,1499,5365,,,,
15073,San Antonio la Isla,1191,1000,191,1191,2,2,,,,,,6925,6040,885,6925,12,6913,,,,
15074,San Felipe del Progreso,22762,19247,3515,22762,19447,45,159,3644,4903,7502,3194,137890,120268,17622,137890,117318,20572,,,,
15075,San Martín de las Pirámides,2612,2305,307,2612,973,19,21,153,377,403,,13370,12133,1237,13370,5015,8355,,,,
15076,San Mateo Atenco,7226,6315,911,7226,1006,,20,58,138,790,,40752,36474,4278,40752,5556,,35196,,,
15077,San Simón de Guerrero,743,557,186,743,743,36,,317,116,274,,3810,3093,717,3810,3810,,,,,
