Área Geográfica,,Estadística de defunciones generales,,,,,,,,,,,,,,,,,,,,,,,
,,Defunciones por homicidio,,,,,,,,,,,,,,,,,,,,,,,
,,Defunciones por homicidio,,,,,,,,,,,,,,,,,,,,,,,
,,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
,,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión
Clave,Nombre,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
08020,Chínipas,15,10,12,12,,3,6,16,10,5,13,10,8,3,7,5,16,14,9,11,16,24,24,7
08021,Delicias,55,71,108,78,44,21,5,15,7,9,6,16,12,9,7,2,8,7,5,10,10,14,11,16
08022,Dr. Belisario Domínguez,,2,2,2,3,3,2,,,,2,,3,2,,,1,3,,2,,,1,2
08023,Galeana,,1,,1,3,1,1,,1,,1,,1,1,,2,,,,1,,,3,
08024,Santa Isabel,,3,5,6,2,1,1,,1,,,1,1,,,,,,,,,1,,1
08025,Gómez Farías,2,2,5,6,1,3,3,,,,1,2,,1,1,,,1,1,1,,2,,4
08026,Gran Morelos,17,1,9,5,,7,,,2,,1,,1,,2,2,,1,,1,2,,,1
08027,Guachochi,80,80,85,92,33,28,8,35,39,27,27,20,16,14,18,26,26,26,20,28,17,10,21,16
08028,Guadalupe,12,9,29,63,81,41,9,3,6,3,1,,1,2,2,4,5,,2,1,,,1,
08029,Guadalupe y Calvo,181,213,123,133,47,41,30,53,40,43,58,51,48,42,56,80,69,43,51,33,69,64,45,20
08030,Guazapares,15,18,17,28,8,6,5,9,9,15,8,5,7,2,8,11,6,3,13,16,5,7,7,4
08031,Guerrero,14,26,27,32,19,15,10,7,6,4,12,4,3,4,9,7,2,7,6,8,3,12,10,8
08032,Hidalgo del Parral,92,88,129,134,70,48,13,13,10,11,12,8,20,17,19,16,20,28,23,32,23,23,16,14
08033,Huejotitán,,1,,1,,1,,,,1,1,,,1,,3,,1,,,1,1,,
08034,Ignacio Zaragoza,5,10,3,2,3,6,1,2,3,1,,,,1,5,,2,1,,,2,,5,1
08035,Janos,7,6,8,11,3,2,4,,1,1,,,3,2,4,1,1,3,2,,,1,,
08036,Jiménez,75,31,44,63,13,8,2,4,5,3,3,9,6,1,7,2,10,4,8,8,4,13,7,3
08037,Juárez,603,854,2207,3589,2289,1518,189,216,212,178,198,262,239,239,139,245,249,286,325,202,113,57,70,46
08038,Julimes,6,13,9,7,,1,1,,,2,,,,,1,,,,,,,2,,
08039,López,1,1,4,1,,,,3,,,,,1,1,1,,,,1,,,1,,
08040,Madera,18,15,26,31,29,20,7,7,5,14,6,1,13,9,9,13,10,8,11,12,12,15,6,2
08041,Maguarichi,8,3,1,4,4,1,1,,,,1,,2,,,1,1,1,,2,,,,
08042,Manuel Benavides,,,,,1,,,1,,,,,,1,,1,,,,,1,,,
08043,Matachí,1,1,2,,2,1,,2,,,,,1,,1,,,,,,,,1,
08044,Matamoros,,16,,3,2,2,2,,3,1,,,,,1,,,,2,1,,2,2,
08045,Meoqui,32,129,90,63,10,10,1,2,3,2,1,5,3,5,1,2,2,5,,1,8,5,4,3
08046,Morelos,24,24,18,10,7,4,2,6,,2,3,4,16,18,15,7,8,18,11,7,5,38,9,10
08047,Moris,14,10,11,10,1,3,4,5,9,2,7,3,3,3,3,2,,,,2,,1,2,
08048,Namiquipa,4,4,9,13,25,8,8,2,2,4,,3,8,6,8,5,2,4,10,5,4,2,4,6
08049,Nonoava,,2,2,2,1,1,2,,,2,1,,,,3,,2,,,1,3,,3,3
08050,Nuevo Casas Grandes,11,30,36,60,81,56,17,9,10,3,2,9,5,7,13,4,5,4,2,5,13,9,7,3
08051,Ocampo,19,16,20,13,1,10,5,5,2,1,,8,2,4,5,7,2,4,6,1,3,5,7,1
08052,Ojinaga,9,12,17,29,14,21,1,8,4,2,5,5,4,7,5,5,10,4,10,4,6,2,6,4
08053,Praxedis G. Guerrero,5,13,24,46,50,6,2,4,2,,,1,1,1,,1,3,2,1,1,1,,,1
08054,Riva Palacio,5,3,7,14,,2,,,,,,1,,,,,,2,,2,1,1,5,
08055,Rosales,21,18,25,13,2,4,1,1,,,,1,2,,2,1,2,1,,1,,1,3,
08056,Rosario,3,,,2,,,,,3,2,,,,2,,,,2,,,,,,
08057,San Francisco de Borja,1,2,10,1,,,,1,,,1,,,,,1,,,,,,,,
08058,San Francisco de Conchos,2,6,,2,2,,,,,,2,,,,2,,,,,,,1,3,
08059,San Francisco del Oro,3,4,5,4,3,1,1,2,,,2,,,3,2,1,1,,1,,,2,2,
08060,Santa Bárbara,2,9,8,3,1,3,3,1,,2,1,1,1,,3,,3,1,,2,1,,4,3
08061,Satevó,1,,1,3,6,2,,,,,,3,2,3,,1,2,,,1,1,,2,
08062,Saucillo,19,12,16,24,5,5,4,4,1,,3,3,3,5,5,4,2,1,4,5,2,,2,
08063,Temósachic,7,6,13,10,7,,1,,,1,3,3,2,1,7,2,4,,2,2,3,2,4,4
08064,El Tule,3,,,2,,,1,,,1,,,,,1,,3,1,,,,,1,
08065,Urique,42,34,45,75,9,9,9,27,13,14,13,14,16,7,12,9,17,19,19,15,23,16,6,10
08066,Uruachi,12,12,13,19,12,5,7,16,15,7,11,16,10,16,13,18,11,11,21,13,8,8,3,4
08067,Valle de Zaragoza,3,4,9,3,1,1,1,2,1,,,,,,,,2,2,3,2,1,1,1,1
08996,No especificado,,3,2,5,1,,,,,,2,,1,1,2,1,1,,,1,1,1,3,
08997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,
08998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,
09,Distrito Federal,1093,1058,1084,1022,910,848,763,775,749,833,853,823,855,794,899,1068,1071,1130,1243,1088,1124,1124,1025,1180
09002,Azcapotzalco,30,43,31,38,33,27,29,16,31,25,34,23,33,29,50,46,54,54,77,53,60,58,48,58
09003,Coyoacán,40,29,53,49,50,41,29,33,34,51,34,39,47,37,48,50,60,58,74,64,59,14,46,61
09004,Cuajimalpa de Morelos,17,12,13,14,10,11,5,10,9,9,8,12,16,10,5,13,8,17,15,16,15,178,9,16
09005,Gustavo A. Madero,182,156,142,145,159,119,135,109,110,125,128,128,143,132,140,169,164,163,204,174,172,236,164,163
09006,Iztacalco,32,31,48,51,35,44,28,31,34,41,34,29,39,23,39,53,61,56,66,47,56,23,46,43
09007,Iztapalapa,228,259,239,260,214,176,187,190,158,202,211,220,199,202,205,233,243,253,313,265,253,8,221,185
09008,La Magdalena Contreras,12,10,16,18,13,19,11,16,21,12,10,9,20,17,7,23,23,19,16,12,14,78,15,20
09009,Milpa Alta,15,8,17,8,6,10,5,8,12,8,12,5,11,14,5,4,2,13,7,16,17,56,4,1
09010,Álvaro Obregón,102,76,77,63,68,57,54,62,60,63,56,42,60,59,57,61,72,93,70,73,75,,71,73
09011,Tláhuac,47,48,37,35,29,29,16,36,27,17,22,31,20,15,36,19,31,30,23,27,26,36,29,30
09012,Tlalpan,46,55,45,54,39,53,30,57,34,39,40,46,29,35,41,67,54,55,67,65,57,44,49,57
09013,Xochimilco,42,34,31,49,29,31,28,22,30,34,31,38,25,30,33,44,38,52,36,29,40,63,28,28
09014,Benito Juárez,14,19,24,26,17,29,24,22,17,21,22,27,23,17,26,22,28,33,35,30,33,57,30,31
09015,Cuauhtémoc,178,178,177,94,94,96,81,81,95,90,112,84,76,80,111,119,114,97,96,89,96,59,134,271
09016,Miguel Hidalgo,27,36,46,45,44,42,30,24,32,31,35,30,38,28,39,55,48,56,69,50,68,23,53,59
09017,Venustiano Carranza,76,59,77,69,62,62,68,56,44,59,63,56,74,54,47,73,58,72,62,62,55,178,57,62
09996,No especificado,5,5,11,4,8,2,3,2,1,6,1,4,2,12,10,17,13,9,13,16,28,13,21,22
09997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,
10,Durango,491,828,1059,1093,995,389,164,185,178,169,200,186,171,164,217,260,253,251,314,350,357,614,338,301
10001,Canatlán,5,8,19,16,14,14,6,11,6,6,6,3,7,9,9,11,11,12,13,10,9,12,18,10
10002,Canelas,1,1,3,4,3,4,1,,1,3,1,5,3,5,5,4,7,6,5,3,6,6,7,4
10003,Coneto de Comonfort,1,4,3,,2,1,1,,,1,,1,2,,3,,,1,,,,3,2,1
10004,Cuencamé,8,4,17,19,18,1,1,2,1,4,,4,3,3,4,7,1,2,6,3,3,6,3,5
10005,Durango,100,277,578,290,249,149,46,52,58,40,75,54,47,46,56,90,68,51,83,105,104,159,127,95
10006,General Simón Bolívar,1,,4,,4,,2,,,,,,,2,3,,,,,1,2,7,1,
10007,Gómez Palacio,124,161,149,266,215,42,17,20,14,7,16,18,18,18,14,26,26,24,22,22,34,30,14,6
10008,Guadalupe Victoria,7,15,5,10,7,4,2,5,2,,6,2,,4,5,6,3,2,4,5,4,7,3,4
10009,Guanaceví,11,5,6,7,13,2,,1,4,,3,2,2,4,7,7,8,3,13,3,12,11,3,3
10010,Hidalgo,3,4,1,,7,2,,,,,1,1,,1,,2,,,,,,4,1,
10011,Indé,,4,3,7,6,2,1,1,1,,,2,,,1,,1,,,5,1,1,6,4
10012,Lerdo,76,66,51,91,71,22,10,11,5,8,10,6,11,5,8,3,9,5,17,32,19,29,8,3
10013,Mapimí,5,14,7,6,5,,2,1,,2,,,2,,2,1,1,1,,1,1,7,2,2
10014,Mezquital,13,23,19,24,41,14,7,9,16,2,8,1,4,8,3,6,4,11,13,16,18,10,2,18
10015,Nazas,2,3,1,,4,1,1,2,2,,1,,1,,,1,2,5,,1,,2,2,3
10016,Nombre de Dios,2,4,9,10,7,1,,,,2,3,1,,2,2,3,,1,2,3,2,5,10,5
10017,Ocampo,3,7,7,7,11,9,5,1,1,1,3,1,,2,,,2,3,3,1,3,2,7,6
10018,El Oro,8,22,3,9,25,5,3,4,,,1,3,2,2,5,7,4,5,2,,1,3,1,
10019,Otáez,4,3,3,12,3,1,1,2,1,3,5,4,1,,1,1,4,5,8,5,1,9,,6
10020,Pánuco de Coronado,1,,,8,4,,1,,1,2,1,1,,1,,3,2,1,2,6,,3,3,6
10021,Peñón Blanco,,1,,4,3,,1,,,1,,,,1,1,,,3,,1,,1,,1
10022,Poanas,2,4,19,28,19,11,,2,1,1,4,,,1,6,3,9,3,4,2,10,20,1,6
10023,Pueblo Nuevo,37,38,28,74,86,35,18,16,26,26,8,6,17,18,28,24,47,44,50,48,47,109,26,15
10024,Rodeo,2,4,2,4,3,5,2,2,,2,2,1,3,1,1,4,5,,4,7,13,17,10,11
10025,San Bernardo,4,3,1,8,2,1,,,,1,,,,,,,,1,1,,,,2,1
10026,San Dimas,25,13,20,16,17,7,6,9,5,16,4,7,9,6,4,8,8,9,13,5,12,28,6,5
10027,San Juan de Guadalupe,,,,1,2,1,,,,,,,,,,1,,,,,,6,,
10028,San Juan del Río,1,4,17,5,7,3,3,3,,1,,2,,,1,1,1,3,2,,10,4,4,8
10029,San Luis del Cordero,,,1,1,1,1,,1,,,,,,1,,,,,,3,,1,2,1
10030,San Pedro del Gallo,1,1,1,,,,,,,,2,,,,,,,,,1,,,,2
10031,Santa Clara,,,1,1,1,,,1,,,,1,,1,1,1,2,,1,1,,,3,2
10032,Santiago Papasquiaro,7,52,39,85,50,8,9,7,12,10,10,8,13,6,13,5,8,15,22,15,17,34,17,9
10033,Súchil,,2,2,4,5,3,2,,1,1,1,,2,1,2,,,,1,1,1,5,1,4
10034,Tamazula,8,19,14,21,19,6,7,5,6,11,9,24,10,5,18,11,3,13,2,11,10,24,12,17
10035,Tepehuanes,9,24,8,18,18,12,2,7,4,6,8,7,4,3,4,4,4,4,5,11,4,17,18,13
10036,Tlahualilo,5,4,,1,4,1,2,1,1,,,2,3,1,1,,1,1,3,1,,1,2,
10037,Topia,5,9,3,7,4,7,1,8,7,3,6,12,,4,3,8,9,4,1,14,6,3,2,8
10038,Vicente Guerrero,2,7,4,17,23,12,1,,1,1,4,1,3,1,2,4,,5,2,4,1,19,5,6
10039,Nuevo Ideal,5,11,9,12,20,2,3,1,1,8,2,5,3,2,3,6,3,7,9,3,6,8,5,11
10996,No especificado,3,7,2,,2,,,,,,,1,1,,1,2,,1,1,,,1,2,
10997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,
10998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,
11,Guanajuato,692,668,589,435,468,280,220,202,231,185,238,207,237,251,250,316,300,306,297,330,385,358,413,389
11001,Abasolo,8,11,12,,10,4,2,,5,,1,2,2,4,3,4,3,5,1,2,2,7,3,6
11002,Acámbaro,33,20,24,17,12,12,8,5,13,10,6,4,10,13,11,12,13,14,16,11,17,10,18,8
11003,San Miguel de Allende,21,16,17,14,16,6,7,11,8,6,9,5,3,11,8,13,12,9,7,8,14,10,7,24
11004,Apaseo el Alto,9,9,7,4,8,5,4,2,5,2,4,4,3,3,5,4,3,3,4,4,1,7,6,8
11005,Apaseo el Grande,14,7,5,4,7,1,2,2,1,3,1,3,1,4,3,2,3,6,3,2,5,14,14,7
11006,Atarjea,,1,,,,1,,,,2,,,,,,,1,,1,,,1,,
11007,Celaya,64,82,84,68,53,41,30,16,23,20,28,22,22,23,33,36,40,33,34,18,31,37,46,35
11008,Manuel Doblado,3,9,2,1,1,2,2,3,3,2,1,1,,,,2,2,2,2,2,2,2,3,9
11009,Comonfort,12,9,5,12,9,8,1,5,,2,2,3,4,4,5,2,3,5,2,3,3,9,8,9
11010,Coroneo,1,2,3,2,,,,1,,1,1,,,,,,,1,3,,,2,,
11011,Cortazar,14,17,9,8,14,3,5,3,6,2,6,4,3,2,4,6,8,6,8,6,9,1,10,6
11012,Cuerámaro,5,5,1,1,4,3,3,2,2,1,3,1,1,1,2,,2,3,,3,4,3,3,1
11013,Doctor Mora,1,,1,1,,,,,,,1,,1,3,,2,1,,1,1,1,1,3,1
11014,Dolores Hidalgo Cuna de la Independencia Nacional,14,18,12,9,8,10,5,3,4,6,5,4,6,10,6,12,2,7,5,7,8,7,7,9
11015,Guanajuato,11,13,15,9,6,4,4,11,5,7,10,8,4,6,12,9,7,7,3,7,11,14,13,20
11016,Huanímaro,,5,,1,1,2,,,1,,,1,1,,,,1,1,,,1,2,,
11017,Irapuato,43,73,48,39,37,21,25,19,25,13,24,18,11,21,24,26,29,38,34,54,38,33,30,36
11018,Jaral del Progreso,,1,4,3,,,1,2,3,1,,,1,,,3,1,2,,1,3,1,2,3
11019,Jerécuaro,6,6,9,5,8,7,9,1,5,2,4,3,4,4,8,4,4,6,1,3,2,6,8,3
11020,León,194,164,136,102,93,57,40,36,39,24,42,39,51,44,55,68,69,50,57,66,97,73,74,79
11021,Moroleón,3,3,5,1,3,4,3,4,3,1,5,4,3,,2,1,3,4,5,4,6,3,6,8
11022,Ocampo,1,,,1,,,,,1,1,,,1,1,1,,1,1,1,,3,1,,1
11023,Pénjamo,32,23,22,9,14,10,6,10,10,18,8,8,13,7,9,15,15,9,10,7,13,11,13,11
11024,Pueblo Nuevo,2,1,1,1,,,,1,1,1,,,1,,1,,,,4,,1,,,1
11025,Purísima del Rincón,6,6,5,5,8,3,1,4,4,3,3,4,2,3,2,3,1,5,3,5,,,4,5
11026,Romita,7,2,5,,5,2,2,5,,1,2,3,3,,2,5,5,3,3,,2,3,6,2
11027,Salamanca,29,33,29,21,33,17,13,10,6,11,9,8,11,11,8,16,10,11,11,13,13,9,8,11
11028,Salvatierra,21,15,17,11,21,6,5,2,7,5,11,2,10,10,4,9,9,8,7,12,20,11,16,17
11029,San Diego de la Unión,2,1,,1,1,1,1,1,1,,3,1,3,2,1,,2,1,5,3,2,6,7,4
11030,San Felipe,8,5,6,2,5,8,6,1,3,4,8,5,3,8,5,8,11,3,4,6,3,5,7,6
11031,San Francisco del Rincón,19,8,10,10,13,13,3,5,10,3,2,4,9,4,1,5,1,4,5,9,8,6,5,4
11032,San José Iturbide,4,3,2,3,1,2,4,4,6,2,3,1,5,2,2,5,2,3,3,2,4,3,5,3
11033,San Luis de la Paz,16,11,12,4,7,4,6,3,1,6,7,2,9,6,8,2,7,8,9,10,10,9,7,6
11034,Santa Catarina,,1,,,,,,,,,1,,1,,,,,,1,,,,,
11035,Santa Cruz de Juventino Rosas,25,13,5,3,1,1,1,4,4,2,2,5,5,6,1,4,1,1,2,2,3,5,6,8
11036,Santiago Maravatío,,5,1,1,3,,1,3,,1,,,,,,1,,5,,1,2,,6,3
11037,Silao,16,15,27,11,18,3,5,8,5,7,2,10,7,6,4,6,,10,8,9,12,8,8,15
11038,Tarandacuao,2,2,2,2,4,,,,,,1,,2,2,,,,,1,2,2,,,
11039,Tarimoro,6,3,6,8,3,2,1,1,3,1,1,,3,1,,1,3,2,,3,5,8,9,3
11040,Tierra Blanca,1,,1,,,,,1,,,2,,,1,,,1,,1,3,1,1,1,
11041,Uriangato,8,7,7,3,11,2,3,1,3,3,5,5,2,7,7,5,4,6,11,7,4,,6,3
11042,Valle de Santiago,11,13,12,15,10,10,3,6,8,3,8,6,5,8,7,11,7,9,4,13,8,12,9,5
11043,Victoria,1,9,2,3,1,1,3,,2,3,1,3,3,2,1,1,2,1,3,6,3,,4,3
11044,Villagrán,12,12,6,8,10,1,3,1,2,2,,2,5,2,2,9,4,3,6,5,6,6,2,1
11045,Xichú,,,3,1,,,,2,,,2,6,1,1,1,,3,2,4,2,,1,8,3
11046,Yuriria,6,8,7,10,8,3,2,3,3,3,4,6,2,8,2,4,4,9,4,6,4,10,13,2
11996,No especificado,1,1,2,1,1,,,,,,,,,,,,,,,2,1,,2,
11997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,
11998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,
12,Guerrero,2261,2593,2372,1515,1749,990,752,781,590,596,595,611,638,795,944,1119,1077,1028,1260,1193,1300,1574,1006,808
12001,Acapulco de Juárez,862,1256,1094,438,391,209,182,250,124,103,107,102,116,135,177,193,228,227,225,253,275,362,178,82
12002,Ahuacuotzingo,10,7,4,7,5,8,6,5,5,9,8,5,4,3,3,4,7,13,6,10,23,25,14,20
12003,Ajuchitlán del Progreso,26,25,14,17,36,11,15,14,7,8,10,12,9,7,14,16,19,17,33,13,8,26,13,21
12004,Alcozauca de Guerrero,2,3,9,4,4,3,1,4,7,6,3,7,,1,2,3,6,9,12,3,3,10,3,8
12005,Alpoyeca,1,2,2,2,,,,2,7,1,2,1,2,1,2,3,1,,,1,5,2,,1
12006,Apaxtla,14,6,8,16,8,2,3,6,6,5,4,4,2,1,8,10,11,9,14,23,15,20,13,5
12007,Arcelia,20,20,15,18,37,18,10,7,9,9,4,14,15,25,29,22,33,23,32,23,26,29,33,40
12008,Atenango del Río,2,4,1,,3,2,1,2,2,2,3,1,,2,,8,1,,2,5,6,4,1,1
12009,Atlamajalcingo del Monte,,,2,,1,1,,,1,2,,,1,1,1,3,5,,1,1,3,2,1,
12010,Atlixtac,16,9,12,17,29,12,9,1,6,9,9,14,16,8,14,19,9,22,22,19,36,23,15,9
12011,Atoyac de Álvarez,68,106,78,45,35,40,45,18,19,10,17,27,28,21,27,23,45,29,22,20,13,38,7,4
12012,Ayutla de los Libres,16,57,51,60,92,35,17,17,21,19,29,44,30,47,61,69,38,46,37,32,55,51,15,23
12013,Azoyú,14,10,4,10,4,5,5,6,3,7,12,4,16,11,15,16,5,9,15,17,17,12,13,15
12014,Benito Juárez,2,22,11,3,7,,1,1,10,1,2,,5,1,2,2,5,2,1,1,5,5,2,1
12015,Buenavista de Cuéllar,4,4,3,6,3,3,,2,,3,1,3,1,,6,,3,1,7,3,5,2,,1
12016,Coahuayutla de José María Izazaga,18,7,23,12,31,3,8,7,2,6,3,8,11,7,19,16,19,19,16,8,10,8,1,3
12017,Cocula,11,8,3,6,2,2,1,1,2,1,3,2,4,2,10,1,3,4,8,9,7,3,3,13
12018,Copala,1,5,5,2,2,4,6,2,7,,3,,2,5,2,7,2,6,4,6,2,1,6,2
12019,Copalillo,6,5,2,1,1,2,2,2,2,2,2,2,1,2,,2,3,1,1,3,6,3,2,5
12020,Copanatoyac,12,4,5,8,14,13,9,5,8,13,5,10,5,18,18,28,15,13,19,14,5,22,19,13
12021,Coyuca de Benítez,99,77,45,34,34,30,12,14,10,16,29,15,29,15,7,23,14,20,47,16,6,6,3,7
12022,Coyuca de Catalán,45,35,52,56,42,38,24,16,8,18,14,17,13,19,16,49,36,26,28,25,43,37,28,16
12023,Cuajinicuilapa,23,17,21,16,25,15,3,6,5,6,9,3,3,11,8,9,2,11,5,5,4,6,3,7
12024,Cualác,1,3,,,,,1,2,2,1,4,3,1,3,1,,6,4,3,2,,2,1,2
12025,Cuautepec,4,4,2,2,5,2,1,1,4,3,3,,2,2,3,2,4,5,5,9,4,5,4,1
12026,Cuetzala del Progreso,8,,3,4,2,4,4,2,2,,1,3,,3,3,3,2,2,2,3,2,9,8,4
12027,Cutzamala de Pinzón,8,9,11,18,14,7,12,13,10,7,3,4,6,6,14,11,14,8,18,15,11,26,11,18
12028,Chilapa de Álvarez,20,32,20,29,44,16,16,7,7,11,9,11,16,13,19,22,22,34,41,47,33,56,39,36
12029,Chilpancingo de los Bravo,144,86,97,90,73,46,31,47,26,21,14,16,19,31,38,44,40,51,58,57,85,131,95,50
12030,Florencio Villarreal,11,11,12,6,3,3,3,5,1,6,6,7,8,14,10,2,1,5,4,5,8,8,5,2
12031,General Canuto A. Neri,2,1,5,2,,3,,,2,4,2,1,2,2,1,5,5,5,1,10,7,6,7,5
12032,General Heliodoro Castillo,19,13,22,22,20,7,6,12,8,18,8,8,2,9,11,6,15,24,14,8,42,17,23,11
12033,Huamuxtitlán,2,2,1,3,2,1,3,1,1,,4,3,1,7,4,3,8,6,7,4,6,24,2,4
12034,Huitzuco de los Figueroa,12,11,16,3,10,5,2,4,5,6,1,5,6,7,7,7,5,9,11,5,10,12,10,11
12035,Iguala de la Independencia,101,83,76,71,68,38,19,17,16,12,16,16,23,19,27,24,33,24,39,44,47,50,59,43
12036,Igualapa,6,4,8,4,1,5,4,1,2,2,8,4,3,4,3,4,3,6,4,7,7,8,7,6
12037,Ixcateopan de Cuauhtémoc,2,1,,,5,3,1,1,1,1,1,2,2,1,3,,1,4,3,,5,5,6,2
12038,Zihuatanejo de Azueta,76,61,96,35,92,49,23,33,27,11,20,20,25,22,36,31,33,31,51,31,23,18,24,15
12039,Juan R. Escudero,10,19,10,4,7,4,2,1,1,3,2,1,3,6,1,4,4,8,11,9,11,5,12,3
12040,Leonardo Bravo,15,10,11,2,11,8,2,4,2,7,2,,6,6,9,9,7,10,13,9,15,10,14,3
12041,Malinaltepec,7,7,4,7,5,,2,4,5,5,1,4,4,3,8,8,4,4,16,6,12,10,6,8
12042,Mártir de Cuilapan,3,2,2,1,1,1,2,,,,,,1,2,1,,,,,,2,,2,4
12043,Metlatónoc,3,6,4,6,6,6,2,4,2,6,2,7,2,3,8,19,18,10,4,14,6,19,4,9
12044,Mochitlán,5,3,,,3,2,1,2,,,2,,2,2,,3,3,3,4,1,2,3,3,3
12045,Olinalá,3,8,3,1,4,,5,5,4,,,7,5,1,7,6,7,1,3,4,9,6,14,7
12046,Ometepec,39,40,35,28,30,17,19,16,18,19,22,12,24,22,17,26,18,17,29,25,26,32,35,26
12047,Pedro Ascencio Alquisiras,4,3,1,3,,,3,1,3,1,4,2,1,11,8,6,6,5,6,4,6,6,9,5
12048,Petatlán,25,17,25,33,47,27,20,11,5,5,13,15,7,15,13,20,20,18,24,28,19,22,24,9
12049,Pilcaya,6,5,4,2,1,,2,2,2,1,,2,1,,2,2,2,2,3,7,5,8,3,2
12050,Pungarabato,47,50,35,38,76,21,15,10,12,8,11,3,6,5,5,9,10,6,15,13,10,17,4,10
12051,Quechultenango,10,5,15,13,19,7,3,8,8,8,11,16,5,10,17,21,12,15,7,18,18,11,12,14
12052,San Luis Acatlán,10,9,10,17,17,9,3,8,7,4,4,6,7,11,10,19,18,10,23,31,26,6,8,8
12053,San Marcos,22,25,22,14,15,10,5,6,,7,10,4,6,9,8,10,20,13,15,8,12,20,10,6
12054,San Miguel Totolapan,34,8,21,23,45,7,4,5,5,11,12,11,3,6,16,26,12,7,24,19,4,41,24,22
12055,Taxco de Alarcón,26,50,41,21,38,14,20,8,11,10,5,14,9,17,8,16,15,14,13,24,23,24,31,24
12056,Tecoanapa,10,14,16,16,13,17,6,7,9,11,8,13,9,18,25,11,13,4,18,24,17,25,2,11
12057,Técpan de Galeana,48,63,67,41,51,25,31,28,10,21,14,15,14,29,22,40,28,28,45,30,33,67,9,13
12058,Teloloapan,49,35,24,30,20,17,6,5,17,15,23,12,3,19,25,19,27,33,33,47,56,41,18,25
12059,Tepecoacuilco de Trujano,14,7,10,5,3,4,4,6,1,2,1,,5,7,1,1,5,4,8,6,7,5,2,8
12060,Tetipac,9,5,2,4,7,1,3,1,3,1,1,6,1,2,4,2,4,6,6,3,4,4,,2
12061,Tixtla de Guerrero,15,13,22,6,6,4,1,3,1,3,4,1,4,9,4,9,10,7,9,8,10,10,2,14
12062,Tlacoachistlahuaca,8,18,17,16,5,6,8,8,7,4,4,7,11,10,12,10,7,4,13,15,7,17,15,3
12063,Tlacoapa,1,1,4,2,5,4,2,2,3,3,3,1,2,3,5,9,2,1,3,2,5,2,3,2
12064,Tlalchapa,6,10,5,4,7,2,3,4,8,,6,3,5,7,2,7,6,2,9,3,1,10,2,5
12065,Tlalixtaquilla de Maldonado,2,3,2,,1,1,2,1,1,2,1,,1,2,1,5,,1,2,3,3,4,,2
12066,Tlapa de Comonfort,25,27,29,20,31,26,25,22,17,12,10,11,11,18,29,51,37,18,27,23,14,15,13,8
12067,Tlapehuala,7,14,6,6,14,5,1,8,5,4,,2,3,3,1,2,4,2,2,3,4,5,3,8
12068,La Unión de Isidoro Montes de Oca,21,32,11,16,29,19,11,18,2,12,10,13,11,20,22,18,17,12,19,10,22,14,12,3
12069,Xalpatláhuac,2,4,1,4,4,3,,,2,3,2,3,2,2,5,3,3,3,1,,4,3,3,1
12070,Xochihuehuetlán,1,1,,,2,2,,3,1,1,,4,2,1,1,,2,1,1,1,4,,,2
12071,Xochistlahuaca,3,5,11,7,8,6,6,4,3,10,3,6,10,6,6,5,5,9,11,8,7,9,12,10
12072,Zapotitlán Tablas,7,6,11,13,17,12,6,2,4,12,8,2,6,3,4,2,6,6,2,1,16,9,6,8
12073,Zirándaro,6,4,7,15,27,15,6,10,8,8,7,3,3,6,8,22,5,10,8,9,2,6,1,2
12074,Zitlala,3,4,5,4,2,4,5,3,,,1,,3,2,1,3,1,1,2,6,2,8,7,2
12075,Eduardo Neri,12,13,9,4,5,5,3,2,3,2,3,5,6,9,2,3,4,2,3,4,6,6,4,3
12076,Acatepec,10,6,5,4,7,8,9,6,4,11,5,1,4,3,2,3,10,3,8,4,,,,
12077,Marquelia,9,8,2,,4,7,6,5,3,3,,1,,,,,,,,,,,,
12078,Cochoapa el Grande,8,10,3,4,6,6,3,,,,,,,,,,,,,,,,,
12079,José Joaquín de Herrera,3,1,2,2,1,1,2,,1,,,,,,,,,,,,,,,
