Area Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,
,,Población ocupada de 12 y más,,,,,,,,
,,Población ocupada de 12 años y más (Personas),,,,,,,,
,,Disciplina académica,,Tamaño localidad 15 tam,,,,,,
Clave,Nombre,Total,Medicina,Total,"Menos de 2,500 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas
12061,Tixtla de Guerrero,6576,18,6576,1384,963,4229,,,
12062,Tlacoachistlahuaca,2632,,2632,2239,393,,,,
12063,Tlacoapa,1866,1,1866,1866,,,,,
12064,Tlalchapa,2206,9,2206,1694,512,,,,
12065,Tlalixtaquilla de Maldonado,1473,1,1473,1473,,,,,
12066,Tlapa de Comonfort,8760,43,8760,4186,,4574,,,
12067,Tlapehuala,2739,19,2739,918,1821,,,,
12068,La Unión de Isidoro Montes de Oca,6169,8,6169,5536,633,,,,
12069,Xalpatláhuac,1261,,1261,1055,206,,,,
12070,Xochihuehuetlán,654,2,654,184,470,,,,
12071,Xochistlahuaca,3966,1,3966,3164,802,,,,
12072,Zapotitlán Tablas,4296,,4296,4296,,,,,
12073,Zirándaro,3404,9,3404,2841,563,,,,
12074,Zitlala,2885,2,2885,1627,1258,,,,
12075,Eduardo Neri,6179,20,6179,1596,903,3680,,,
12076,Acatepec,,,,,,,,,
12077,Marquelia,,,,,,,,,
12078,Cochoapa el Grande,,,,,,,,,
12079,José Joaquín de Herrera,,,,,,,,,
12080,Juchitán,,,,,,,,,
12081,Iliatenco,,,,,,,,,
12996,No especificado,,,,,,,,,
12997,Otros estados,,,,,,,,,
12998,Otros municipios,,,,,,,,,
13,Hidalgo,493315,2623,493315,254035,93676,88914,56690,,
13001,Acatlán,4020,6,4020,4020,,,,,
13002,Acaxochitlán,7784,4,7784,4569,3215,,,,
13003,Actopan,10798,64,10798,3879,648,6271,,,
13004,Agua Blanca de Iturbide,1970,2,1970,1970,,,,,
13005,Ajacuba,2695,4,2695,292,2403,,,,
13006,Alfajayucan,4088,4,4088,4088,,,,,
13007,Almoloya,2312,3,2312,1486,826,,,,
13008,Apan,9536,47,9536,3137,,6399,,,
13009,El Arenal,3124,4,3124,2411,713,,,,
13010,Atitalaquia,4441,36,4441,2290,2151,,,,
13011,Atlapexco,3728,3,3728,3728,,,,,
13012,Atotonilco el Grande,6123,15,6123,4546,1577,,,,
13013,Atotonilco de Tula,4584,10,4584,2560,2024,,,,
13014,Calnali,3832,6,3832,2492,1340,,,,
13015,Cardonal,3720,5,3720,3720,,,,,
13016,Cuautepec de Hinojosa,8779,34,8779,5784,2995,,,,
13017,Chapantongo,2815,4,2815,2815,,,,,
13018,Chapulhuacán,4661,5,4661,4661,,,,,
13019,Chilcuautla,3299,5,3299,3299,,,,,
13020,Eloxochitlán,962,4,962,962,,,,,
13021,Emiliano Zapata,2668,5,2668,830,1838,,,,
13022,Epazoyucan,2521,3,2521,2521,,,,,
13023,Francisco I. Madero,6237,30,6237,2031,4206,,,,
13024,Huasca de Ocampo,3073,5,3073,3073,,,,,
13025,Huautla,5287,2,5287,4743,544,,,,
13026,Huazalingo,2248,2,2248,2248,,,,,
13027,Huehuetla,5646,4,5646,5646,,,,,
13028,Huejutla de Reyes,22174,62,22174,14429,848,6897,,,
13029,Huichapan,8486,24,8486,5206,3280,,,,
13030,Ixmiquilpan,17134,70,17134,8963,,8171,,,
13031,Jacala de Ledezma,3070,9,3070,2229,841,,,,
13032,Jaltocán,2189,5,2189,1020,1169,,,,
13033,Juárez Hidalgo,857,,857,857,,,,,
13034,Lolotla,2094,5,2094,2094,,,,,
13035,Metepec,2147,4,2147,2147,,,,,
13036,San Agustín Metzquititlán,2145,6,2145,2145,,,,,
13037,Metztitlán,5089,9,5089,4406,683,,,,
13038,Mineral del Chico,1721,3,1721,1721,,,,,
13039,Mineral del Monte,3605,19,3605,570,3035,,,,
13040,La Misión,3363,2,3363,3363,,,,,
13041,Mixquiahuala de Juárez,7507,51,7507,2454,,5053,,,
13042,Molango de Escamilla,2633,1,2633,1817,816,,,,
13043,Nicolás Flores,1371,,1371,1371,,,,,
13044,Nopala de Villagrán,3753,4,3753,3753,,,,,
13045,Omitlán de Juárez,1655,5,1655,1655,,,,,
13046,San Felipe Orizatlán,8266,8,8266,5123,3143,,,,
13047,Pacula,1147,3,1147,1147,,,,,
13048,Pachuca de Soto,58569,1067,58569,1879,,,56690,,
13049,Pisaflores,3898,1,3898,3898,,,,,
13050,Progreso de Obregón,4417,33,4417,626,3791,,,,
13051,Mineral de la Reforma,6279,80,6279,1396,4883,,,,
13052,San Agustín Tlaxiaca,5047,6,5047,3299,1748,,,,
13053,San Bartolo Tutotepec,5063,2,5063,5063,,,,,
13054,San Salvador,5731,17,5731,5731,,,,,
13055,Santiago de Anaya,3001,7,3001,3001,,,,,
13056,Santiago Tulantepec de Lugo Guerrero,5014,20,5014,1567,3447,,,,
13057,Singuilucan,3174,2,3174,2415,759,,,,
13058,Tasquillo,3397,7,3397,3397,,,,,
13059,Tecozautla,6966,12,6966,5544,1422,,,,
13060,Tenango de Doria,3659,8,3659,3659,,,,,
13061,Tepeapulco,12231,103,12231,1482,3290,7459,,,
13062,Tepehuacán de Guerrero,5605,10,5605,5605,,,,,
13063,Tepeji del Río de Ocampo,14370,49,14370,5326,1429,7615,,,
13064,Tepetitlán,1680,6,1680,1680,,,,,
13065,Tetepango,1789,4,1789,348,1441,,,,
13066,Villa de Tezontepec,2061,7,2061,797,1264,,,,
13067,Tezontepec de Aldama,7342,20,7342,1182,1437,4723,,,
13068,Tianguistengo,3444,,3444,3444,,,,,
13069,Tizayuca,8927,39,8927,1467,746,6714,,,
13070,Tlahuelilpan,3018,11,3018,477,2541,,,,
13071,Tlahuiltepa,2920,,2920,2920,,,,,
13072,Tlanalapa,2217,21,2217,773,1444,,,,
13073,Tlanchinol,6751,3,6751,6017,734,,,,
13074,Tlaxcoapan,4540,26,4540,149,4391,,,,
13075,Tolcayuca,2190,4,2190,912,1278,,,,
13076,Tula de Allende,18973,148,18973,5702,6538,6733,,,
13077,Tulancingo de Bravo,27236,249,27236,2627,1730,22879,,,
13078,Xochiatipan,3640,,3640,3640,,,,,
13079,Xochicoatlán,2129,3,2129,2129,,,,,
13080,Yahualica,4493,1,4493,3854,639,,,,
13081,Zacualtipán de Ángeles,5868,19,5868,2315,3553,,,,
13082,Zapotlán de Juárez,3316,6,3316,10,3306,,,,
13083,Zempoala,5763,10,5763,4437,1326,,,,
13084,Zimapán,7240,16,7240,4996,2244,,,,
13996,No especificado,,,,,,,,,
13997,Otros estados,,,,,,,,,
13998,Otros municipios,,,,,,,,,
14,Jalisco,1553202,13052,1553202,223307,202895,228141,351228,547631,
14001,Acatic,4335,3,4335,2082,2253,,,,
14002,Acatlán de Juárez,4032,9,4032,607,3425,,,,
14003,Ahualulco de Mercado,4762,17,4762,1495,3267,,,,
14004,Amacueca,1267,2,1267,545,722,,,,
14005,Amatitán,2522,9,2522,731,1791,,,,
14006,Ameca,13841,59,13841,5232,,8609,,,
14007,San Juanito de Escobedo,2168,5,2168,897,1271,,,,
14008,Arandas,16490,35,16490,5036,2645,8809,,,
14009,EL Arenal,2976,5,2976,1102,1874,,,,
14010,Atemajac de Brizuela,1311,5,1311,367,944,,,,
14011,Atengo,1007,1,1007,1007,,,,,
14012,Atenguillo,897,6,897,897,,,,,
14013,Atotonilco el Alto,12595,39,12595,4344,970,7281,,,
14014,Atoyac,2136,5,2136,790,1346,,,,
14015,Autlán de Navarro,13334,74,13334,3166,,10168,,,
14016,Ayotlán,7307,15,7307,3133,4174,,,,
14017,Ayutla,3328,9,3328,1830,1498,,,,
14018,La Barca,11430,65,11430,3860,996,6574,,,
14019,Bolaños,1242,6,1242,1242,,,,,
14020,Cabo Corrientes,2321,1,2321,2321,,,,,
14021,Casimiro Castillo,5981,21,5981,1142,4839,,,,
14022,Cihuatlán,7520,28,7520,2235,5285,,,,
14023,Zapotlán el Grande,22056,183,22056,261,,21795,,,
14024,Cocula,5470,11,5470,2344,3126,,,,
14025,Colotlán,3965,15,3965,1115,2850,,,,
14026,Concepción de Buenos Aires,1482,3,1482,321,1161,,,,
14027,Cuautitlán de García Barragán,3251,2,3251,3251,,,,,
14028,Cuautla,672,,672,672,,,,,
14029,Cuquío,3700,4,3700,2800,900,,,,
14030,Chapala,10090,39,10090,1828,3744,4518,,,
14031,Chimaltitán,402,,402,402,,,,,
14032,Chiquilistlán,1177,3,1177,482,695,,,,
14033,Degollado,4770,12,4770,2316,2454,,,,
14034,Ejutla,521,1,521,521,,,,,
14035,Encarnación de Díaz,11477,24,11477,5289,707,5481,,,
14036,Etzatlán,4421,19,4421,1109,3312,,,,
14037,El Grullo,5464,17,5464,580,,4884,,,
14038,Guachinango,1190,3,1190,1190,,,,,
14039,Guadalajara,547683,7101,547683,52,,,,547631,
14040,Hostotipaquillo,1602,3,1602,1047,555,,,,
14041,Huejúcar,1350,7,1350,481,869,,,,
14042,Huejuquilla el Alto,1549,3,1549,853,696,,,,
14043,La Huerta,5505,13,5505,3913,1592,,,,
14044,Ixtlahuacán de los Membrillos,4717,6,4717,2093,2624,,,,
14045,Ixtlahuacán del Río,4440,8,4440,3228,1212,,,,
14046,Jalostotitlán,6732,25,6732,1690,,5042,,,
14047,Jamay,4476,10,4476,1090,3386,,,,
14048,Jesús María,4079,7,4079,2512,1567,,,,
14049,Jilotlán de los Dolores,1909,1,1909,1909,,,,,
14050,Jocotepec,7970,17,7970,2544,5426,,,,
14051,Juanacatlán,2596,5,2596,805,1791,,,,
14052,Juchitlán,1729,8,1729,780,949,,,,
14053,Lagos de Moreno,29391,96,29391,10095,757,18539,,,
14054,El Limón,1381,8,1381,611,770,,,,
14055,Magdalena,3485,10,3485,809,2676,,,,
14056,Santa María del Oro,745,2,745,745,,,,,
14057,La Manzanilla de la Paz,942,3,942,942,,,,,
14058,Mascota,3677,12,3677,1762,1915,,,,
14059,Mazamitla,2347,7,2347,878,1469,,,,
14060,Mexticacán,1133,2,1133,521,612,,,,
14061,Mezquitic,2427,6,2427,2427,,,,,
14062,Mixtlán,929,1,929,929,,,,,
14063,Ocotlán,19239,115,19239,1670,,17569,,,
14064,Ojuelos de Jalisco,5192,9,5192,3488,1704,,,,
14065,Pihuamo,4042,6,4042,1930,2112,,,,
14066,Poncitlán,8083,19,8083,2698,5385,,,,
14067,Puerto Vallarta,39008,225,39008,1256,4431,33321,,,
14068,Villa Purificación,3084,10,3084,1971,1113,,,,
14069,Quitupan,2348,3,2348,2348,,,,,
14070,El Salto,10747,13,10747,1153,9594,,,,
14071,San Cristóbal de la Barranca,742,2,742,742,,,,,
14072,San Diego de Alejandría,1559,2,1559,614,945,,,,
14073,San Juan de los Lagos,13022,54,13022,3142,,9880,,,
14074,San Julián,3113,10,3113,613,2500,,,,
14075,San Marcos,816,2,816,105,711,,,,
14076,San Martín de Bolaños,606,5,606,606,,,,,
14077,San Martín Hidalgo,5914,15,5914,2201,3713,,,,
14078,San Miguel el Alto,6668,18,6668,1430,,5238,,,
14079,Gómez Farías,2902,13,2902,497,2405,,,,
14080,San Sebastián del Oeste,1769,2,1769,1769,,,,,
14081,Santa María de los Ángeles,997,6,997,997,,,,,
14082,Sayula,7841,36,7841,251,1356,6234,,,
14083,Tala,12112,42,12112,2538,2592,6982,,,
14084,Talpa de Allende,3118,6,3118,1566,1552,,,,
14085,Tamazula de Gordiano,11297,37,11297,4999,1568,4730,,,
14086,Tapalpa,3138,4,3138,1848,1290,,,,
14087,Tecalitlán,4385,12,4385,1274,3111,,,,
14088,Tecolotlán,4098,13,4098,2108,1990,,,,
14089,Techaluta de Montenegro,646,2,646,646,,,,,
14090,Tenamaxtlán,1625,8,1625,711,914,,,,
14091,Teocaltiche,8213,23,8213,2881,547,4785,,,
14092,Teocuitatlán de Corona,2963,9,2963,1981,982,,,,
14093,Tepatitlán de Morelos,26239,96,26239,5294,4843,16102,,,
14094,Tequila,6815,20,6815,2304,,4511,,,
14095,Teuchitlán,2031,4,2031,1182,849,,,,
14096,Tizapán el Alto,4716,14,4716,790,3926,,,,
14097,Tlajomulco de Zúñiga,19933,48,19933,5995,13938,,,,
14098,Tlaquepaque,101378,305,101378,414,3156,,97808,,
14099,Tolimán,1732,3,1732,1399,333,,,,
14100,Tomatlán,7987,23,7987,5940,2047,,,,
14101,Tonalá,48271,141,48271,2090,3724,,42457,,
14102,Tonaya,1604,4,1604,737,867,,,,
14103,Tonila,2076,8,2076,234,1842,,,,
14104,Totatiche,1320,3,1320,1320,,,,,
14105,Tototlán,4978,6,4978,2519,2459,,,,
14106,Tuxcacuesco,917,,917,917,,,,,
14107,Tuxcueca,1241,2,1241,658,583,,,,
14108,Tuxpan,8214,37,8214,1964,,6250,,,
14109,Unión de San Antonio,3569,8,3569,2353,1216,,,,
14110,Unión de Tula,3387,19,3387,1273,2114,,,,
14111,Valle de Guadalupe,1377,4,1377,462,915,,,,
14112,Valle de Juárez,1352,5,1352,530,822,,,,
14113,San Gabriel,3027,7,3027,1977,1050,,,,
14114,Villa Corona,3800,12,3800,771,3029,,,,
14115,Villa Guerrero,1228,9,1228,444,784,,,,
14116,Villa Hidalgo,3040,6,3040,777,2263,,,,
14117,Cañadas de Obregón,1080,3,1080,1080,,,,,
14118,Yahualica de González Gallo,5011,18,5011,1418,3593,,,,
14119,Zacoalco de Torres,6028,20,6028,2333,3695,,,,
14120,Zapopan,223434,3347,223434,5151,7320,,210963,,
14121,Zapotiltic,6858,22,6858,1107,591,5160,,,
14122,Zapotitlán de Vadillo,1145,,1145,1145,,,,,
14123,Zapotlán del Rey,3345,4,3345,2649,696,,,,
14124,Zapotlanejo,11078,17,11078,4789,610,5679,,,
14125,San Ignacio Cerro Gordo,,,,,,,,,
14996,No especificado,,,,,,,,,
14997,Otros estados,,,,,,,,,
14998,Otros municipios,,,,,,,,,
15,México,2860976,17642,2860976,359865,337596,247864,1148358,767293,
15001,Acambay de Ruíz Castañeda,10125,16,10125,8473,1652,,,,
15002,Acolman,11404,37,11404,1209,3414,6781,,,
15003,Aculco,7152,7,7152,6462,690,,,,
15004,Almoloya de Alquisiras,2200,7,2200,2200,,,,,
15005,Almoloya de Juárez,21360,32,21360,13604,7756,,,,
15006,Almoloya del Río,1859,14,1859,,1859,,,,
15007,Amanalco,3376,4,3376,3376,,,,,
15008,Amatepec,4523,16,4523,3980,543,,,,
15009,Amecameca,9796,57,9796,2140,614,7042,,,
15010,Apaxco,4829,20,4829,1314,3515,,,,
15011,Atenco,5452,18,5452,962,4490,,,,
15012,Atizapán,1465,8,1465,215,1250,,,,
15013,Atizapán de Zaragoza,98783,975,98783,43,,,98740,,
15014,Atlacomulco,14127,70,14127,6439,7688,,,,
15015,Atlautla,4551,8,4551,470,4081,,,,
15016,Axapusco,3969,9,3969,2472,1497,,,,
15017,Ayapango,1125,1,1125,1125,,,,,
15018,Calimaya,6431,33,6431,1612,4819,,,,
15019,Capulhuac,6117,49,6117,1300,4817,,,,
15020,Coacalco de Berriozábal,47477,451,47477,244,,,47233,,
15021,Coatepec Harinas,7406,11,7406,5774,1632,,,,
15022,Cocotitlán,2132,8,2132,302,1830,,,,
15023,Coyotepec,6190,13,6190,474,,5716,,,
15024,Cuautitlán,14782,89,14782,1399,809,12574,,,
15025,Chalco,76356,167,76356,2127,13235,,60994,,
15026,Chapa de Mota,4213,2,4213,2964,1249,,,,
15027,Chapultepec,1022,7,1022,16,1006,,,,
15028,Chiautla,4090,16,4090,2095,1995,,,,
15029,Chicoloapan,15596,44,15596,,,15596,,,
15030,Chiconcuac,3786,37,3786,86,3700,,,,
15031,Chimalhuacán,64719,80,64719,1684,,,63035,,
15032,Donato Guerra,4498,5,4498,3390,1108,,,,
15033,Ecatepec de Morelos,367801,1852,367801,,,,,367801,
15034,Ecatzingo,1113,1,1113,327,786,,,,
15035,Huehuetoca,7055,29,7055,2879,4176,,,,
15036,Hueypoxtla,6731,11,6731,2027,4704,,,,
15037,Huixquilucan,43505,488,43505,5693,10494,27318,,,
15038,Isidro Fabela,1421,3,1421,1421,,,,,
15039,Ixtapaluca,38648,110,38648,1561,4081,,33006,,
15040,Ixtapan de la Sal,6298,28,6298,2686,3612,,,,
15041,Ixtapan del Oro,1226,2,1226,1226,,,,,
15042,Ixtlahuaca,19729,50,19729,9071,10658,,,,
15043,Xalatlaco,3632,17,3632,1329,2303,,,,
15044,Jaltenco,6167,25,6167,200,5967,,,,
15045,Jilotepec,13855,30,13855,10552,3303,,,,
15046,Jilotzingo,2697,,2697,1788,909,,,,
15047,Jiquipilco,9671,26,9671,6791,2880,,,,
15048,Jocotitlán,10815,27,10815,5177,5638,,,,
15049,Joquicingo,2021,3,2021,543,1478,,,,
15050,Juchitepec,3846,7,3846,7,3839,,,,
15051,Lerma,18249,58,18249,7511,10738,,,,
15052,Malinalco,4362,14,4362,2862,1500,,,,
15053,Melchor Ocampo,7188,30,7188,828,,6360,,,
15054,Metepec,43117,634,43117,1803,4953,,36361,,
15055,Mexicaltzingo,1926,10,1926,204,1722,,,,
15056,Morelos,5323,5,5323,3057,2266,,,,
15057,Naucalpan de Juárez,268488,2492,268488,2743,1202,,264543,,
15058,Nezahualcóyotl,399797,2223,399797,305,,,,399492,
15059,Nextlalpan,2847,6,2847,804,2043,,,,
15060,Nicolás Romero,52314,131,52314,3468,6604,,42242,,
15061,Nopaltepec,1496,2,1496,1496,,,,,
15062,Ocoyoacac,10247,41,10247,1879,3510,4858,,,
15063,Ocuilan,4315,2,4315,4315,,,,,
15064,El Oro,5674,17,5674,5674,,,,,
15065,Otumba,5486,17,5486,2927,2559,,,,
15066,Otzoloapan,874,1,874,874,,,,,
15067,Otzolotepec,9786,22,9786,4223,5563,,,,
15068,Ozumba,4510,13,4510,1077,3433,,,,
15069,Papalotla,661,6,661,661,,,,,
15070,La Paz,39529,139,39529,74,,,39455,,
15071,Polotitlán,2831,6,2831,2831,,,,,
15072,Rayón,1894,10,1894,386,1508,,,,
15073,San Antonio la Isla,1904,5,1904,3,1901,,,,
15074,San Felipe del Progreso,30838,31,30838,26108,4730,,,,
15075,San Martín de las Pirámides,3967,12,3967,1391,2576,,,,
15076,San Mateo Atenco,11287,66,11287,1612,,9675,,,
15077,San Simón de Guerrero,781,1,781,781,,,,,
15078,Santo Tomás,1387,3,1387,775,612,,,,
15079,Soyaniquilpan de Juárez,2326,2,2326,2326,,,,,
15080,Sultepec,4469,3,4469,3654,815,,,,
15081,Tecámac,34870,174,34870,690,10414,23766,,,
15082,Tejupilco,14227,50,14227,8513,1851,3863,,,
15083,Temamatla,1496,4,1496,661,835,,,,
15084,Temascalapa,4967,10,4967,2576,2391,,,,
15085,Temascalcingo,10891,20,10891,6703,4188,,,,
15086,Temascaltepec,6700,4,6700,6700,,,,,
15087,Temoaya,11858,12,11858,7624,4234,,,,
15088,Tenancingo,16218,67,16218,7677,1213,7328,,,
15089,Tenango del Aire,1729,8,1729,728,1001,,,,
15090,Tenango del Valle,12162,52,12162,2636,9526,,,,
15091,Teoloyucan,11447,30,11447,1808,926,8713,,,
15092,Teotihuacán,8430,36,8430,1008,7422,,,,
15093,Tepetlaoxtoc,4320,6,4320,2374,1946,,,,
15094,Tepetlixpa,3074,,3074,855,2219,,,,
15095,Tepotzotlán,11628,27,11628,1891,2475,7262,,,
15096,Tequixquiac,5458,17,5458,598,4860,,,,
15097,Texcaltitlán,2591,8,2591,2591,,,,,
15098,Texcalyacac,718,3,718,,718,,,,
15099,Texcoco,39668,321,39668,2874,15640,21154,,,
15100,Tezoyuca,3267,14,3267,726,2541,,,,
15101,Tianguistenco,11534,61,11534,2501,9033,,,,
15102,Timilpan,2772,1,2772,2772,,,,,
15103,Tlalmanalco,9100,38,9100,1718,2743,4639,,,
15104,Tlalnepantla de Baz,230915,2053,230915,141,,,230774,,
15105,Tlatlaya,3262,8,3262,3262,,,,,
15106,Toluca,145272,2070,145272,15570,20887,3802,105013,,
15107,Tonatico,2286,12,2286,598,1688,,,,
15108,Tultepec,12945,51,12945,687,,12258,,,
15109,Tultitlán,72214,371,72214,901,,38518,32795,,
15110,Valle de Bravo,10457,26,10457,4057,1261,5139,,,
15111,Villa de Allende,6541,,6541,5811,730,,,,
15112,Villa del Carbón,6462,11,6462,3753,2709,,,,
15113,Villa Guerrero,11106,18,11106,7437,3669,,,,
15114,Villa Victoria,14472,8,14472,14472,,,,,
15115,Xonacatlán,7042,31,7042,2247,4795,,,,
15116,Zacazonapan,632,1,632,632,,,,,
15117,Zacualpan,2448,10,2448,1798,650,,,,
15118,Zinacantepec,21463,62,21463,6318,7727,7418,,,
15119,Zumpahuacán,2886,2,2886,2123,763,,,,
15120,Zumpango,18669,75,18669,4782,5803,8084,,,
15121,Cuautitlán Izcalli,97764,848,97764,1171,2426,,94167,,
15122,Valle de Chalco Solidaridad,,,,,,,,,
15123,Luvianos,,,,,,,,,
15124,San José del Rincón,,,,,,,,,
15125,Tonanitla,,,,,,,,,
15996,No especificado,,,,,,,,,
15997,Otros estados,,,,,,,,,
15998,Otros municipios,,,,,,,,,
16,Michoacán de Ocampo,891873,6072,891873,301098,179061,196870,214844,,
16001,Acuitzio,2067,5,2067,952,1115,,,,
16002,Aguililla,3795,10,3795,2152,1643,,,,
16003,Álvaro Obregón,4392,7,4392,2623,1769,,,,
16004,Angamacutiro,3419,14,3419,2261,1158,,,,
16005,Angangueo,2096,5,2096,1154,942,,,,
16006,Apatzingán,26578,123,26578,5715,,20863,,,
16007,Aporo,590,3,590,590,,,,,
16008,Aquila,4411,7,4411,4411,,,,,
16009,Ario,7154,32,7154,3592,3562,,,,
16010,Arteaga,4705,21,4705,2641,2064,,,,
16011,Briseñas,2331,8,2331,1378,953,,,,
16012,Buenavista,8914,12,8914,4023,4891,,,,
16013,Carácuaro,1963,3,1963,1963,,,,,
16014,Coahuayana,3727,9,3727,2054,1673,,,,
16015,Coalcomán de Vázquez Pallares,4506,11,4506,2802,1704,,,,
16016,Coeneo,5779,11,5779,3983,1796,,,,
16017,Contepec,6181,11,6181,5184,997,,,,
16018,Copándaro,1641,5,1641,908,733,,,,
16019,Cotija,4628,17,4628,1637,2991,,,,
16020,Cuitzeo,5776,19,5776,3265,2511,,,,
16021,Charapan,2620,2,2620,1011,1609,,,,
16022,Charo,4374,6,4374,3374,1000,,,,
16023,Chavinda,2261,6,2261,857,1404,,,,
16024,Cherán,3297,4,3297,35,3262,,,,
16025,Chilchota,6966,18,6966,2256,4710,,,,
16026,Chinicuila,1596,2,1596,1596,,,,,
16027,Chucándiro,1712,3,1712,1712,,,,,
16028,Churintzio,2125,6,2125,1481,644,,,,
16029,Churumuco,2590,6,2590,1691,899,,,,
16030,Ecuandureo,3874,4,3874,1893,1981,,,,
16031,Epitacio Huerta,4352,1,4352,4352,,,,,
16032,Erongarícuaro,3045,2,3045,3045,,,,,
16033,Gabriel Zamora,4810,6,4810,2244,2566,,,,
16034,Hidalgo,23802,104,23802,8771,2282,12749,,,
16035,La Huacana,6636,15,6636,4090,2546,,,,
16036,Huandacareo,3255,16,3255,1497,1758,,,,
16037,Huaniqueo,3004,7,3004,2248,756,,,,
16038,Huetamo,8774,31,8774,4275,,4499,,,
16039,Huiramba,1357,2,1357,1357,,,,,
16040,Indaparapeo,3404,7,3404,1886,1518,,,,
16041,Irimbo,2380,5,2380,2380,,,,,
16042,Ixtlán,4220,6,4220,2889,1331,,,,
16043,Jacona,12049,39,12049,665,661,10723,,,
16044,Jiménez,3456,11,3456,2554,902,,,,
16045,Jiquilpan,8488,70,8488,1386,808,6294,,,
16046,Juárez,2338,8,2338,2338,,,,,
16047,Jungapeo,3671,7,3671,2439,1232,,,,
16048,Lagunillas,1114,2,1114,1114,,,,,
16049,Madero,3707,5,3707,2763,944,,,,
16050,Maravatío,15005,48,15005,8046,1112,5847,,,
16051,Marcos Castellanos,3029,7,3029,770,2259,,,,
16052,Lázaro Cárdenas,37112,235,37112,3678,7653,25781,,,
16053,Morelia,141686,2716,141686,12184,2960,,126542,,
16054,Morelos,2550,5,2550,1825,725,,,,
16055,Múgica,9654,32,9654,1989,636,7029,,,
16056,Nahuatzen,4739,10,4739,2407,2332,,,,
16057,Nocupétaro,1651,1,1651,1209,442,,,,
16058,Nuevo Parangaricutiro,3414,10,3414,948,2466,,,,
16059,Nuevo Urecho,2265,1,2265,2265,,,,,
16060,Numarán,2232,7,2232,1288,944,,,,
16061,Ocampo,2891,4,2891,2891,,,,,
16062,Pajacuarán,3984,14,3984,1164,2820,,,,
16063,Panindícuaro,4692,8,4692,3206,1486,,,,
16064,Parácuaro,5008,10,5008,2583,2425,,,,
16065,Paracho,7701,31,7701,2950,4751,,,,
16066,Pátzcuaro,16827,94,16827,4146,1144,11537,,,
16067,Penjamillo,5202,15,5202,4163,1039,,,,
16068,Peribán,4198,6,4198,1739,2459,,,,
16069,La Piedad,22807,155,22807,4227,,18580,,,
16070,Purépero,3480,19,3480,225,3255,,,,
16071,Puruándiro,15366,65,15366,8134,1282,5950,,,
16072,Queréndaro,2827,11,2827,900,1927,,,,
16073,Quiroga,6270,22,6270,809,5461,,,,
16074,Cojumatlán de Régules,2540,3,2540,834,1706,,,,
16075,Los Reyes,13462,75,13462,3458,735,9269,,,
16076,Sahuayo,15802,109,15802,856,,14946,,,
16077,San Lucas,3336,11,3336,2735,601,,,,
16078,Santa Ana Maya,3332,16,3332,1971,1361,,,,
16079,Salvador Escalante,6901,10,6901,3084,3817,,,,
16080,Senguio,3391,3,3391,3391,,,,,
16081,Susupuato,1872,2,1872,1872,,,,,
16082,Tacámbaro,12591,51,12591,6771,1384,4436,,,
16083,Tancítaro,4812,13,4812,3808,1004,,,,
16084,Tangamandapio,4896,9,4896,986,3910,,,,
16085,Tangancícuaro,8829,43,8829,3135,1081,4613,,,
16086,Tanhuato,3408,8,3408,1825,1583,,,,
16087,Taretan,3216,5,3216,1606,1610,,,,
16088,Tarímbaro,7695,10,7695,4514,3181,,,,
16089,Tepalcatepec,6442,26,6442,2233,4209,,,,
16090,Tingambato,2419,10,2419,175,2244,,,,
16091,Tingüindín,3132,16,3132,1571,1561,,,,
16092,Tiquicheo de Nicolás Romero,2663,5,2663,1915,748,,,,
16093,Tlalpujahua,5113,14,5113,4273,840,,,,
16094,Tlazazalca,2852,3,2852,1901,951,,,,
16095,Tocumbo,3122,8,3122,1507,1615,,,,
16096,Tumbiscatío,1619,3,1619,1105,514,,,,
16097,Turicato,5616,9,5616,3480,2136,,,,
16098,Tuxpan,4919,13,4919,3014,1905,,,,
16099,Tuzantla,3072,7,3072,2573,499,,,,
16100,Tzintzuntzan,3098,7,3098,1362,1736,,,,
16101,Tzitzio,2147,3,2147,2147,,,,,
16102,Uruapan,62398,527,62398,4001,3293,,55104,,
16103,Venustiano Carranza,4639,16,4639,1032,3607,,,,
16104,Villamar,4068,22,4068,2534,1534,,,,
16105,Vista Hermosa,3790,15,3790,1267,2523,,,,
16106,Yurécuaro,5540,28,5540,1236,,4304,,,
16107,Zacapu,15619,144,15619,3672,711,11236,,,
16108,Zamora,42096,339,42096,4503,4395,,33198,,
16109,Zináparo,1056,4,1056,1056,,,,,
16110,Zinapécuaro,10456,47,10456,5776,4680,,,,
16111,Ziracuaretiro,2938,5,2938,1414,1524,,,,
16112,Zitácuaro,27529,155,27529,8732,583,18214,,,
16113,José Sixto Verduzco,4927,18,4927,2540,2387,,,,
16996,No especificado,,,,,,,,,
16997,Otros estados,,,,,,,,,
16998,Otros municipios,,,,,,,,,
17,Morelos,348357,2257,348357,41875,96919,80163,129400,,
17001,Amacuzac,3090,9,3090,2099,991,,,,
17002,Atlatlahucan,2205,5,2205,900,1305,,,,
