Población total (con información hasta localidad),,,,,,,,,,,,,,,,,,,,,,,,
Sexo : Hombres,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Edad quinquenal,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,De 0 a 4 años,De 5 a 9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 34 años,De 35 a 39 años,De 40 a 44 años,De 45 a 49 años,De 50 a 54 años,De 55 a 59 años,De 60 a 64 años,De 65 a 69 años,De 70 a 74 años,De 75 a 79 años,De 80 a 84 años,De 85 a 89 años,De 90 a 94 años,De 95 a 99 años,De 100 y más años,No especificado
 13 067 ,Tezontepec de Aldama,"31,651","4,105","4,551","4,673","3,684","2,737","2,307","2,012","1,658","1,253","1,118",878,686,536,446,315,176,107,85,26,17,9,272
 13 068 ,Tianguistengo,"13,437","1,844","1,860","1,731","1,369",922,818,648,804,578,580,461,383,392,300,233,164,128,40,17,12,10,143
 13 069 ,Tizayuca,"30,293","4,054","4,437","3,663","3,267","2,840","2,622","2,549","1,911","1,224",911,669,496,409,364,237,178,96,64,20,6,4,272
 13 070 ,Tlahuelilpan,"11,508","1,414","1,621","1,587","1,367","1,089",925,760,631,465,381,324,252,181,151,108,79,41,36,11,4,3,78
 13 071 ,Tlahuiltepa,"10,684","1,295","1,691","1,676",995,615,544,523,594,473,491,396,307,348,243,163,122,91,41,16,9,4,47
 13 072 ,Tlanalapa,"9,051","1,071","1,267","1,175","1,024",787,787,772,553,353,271,215,195,153,123,72,64,34,34,14,6,1,80
 13 073 ,Tlanchinol,"28,002","4,372","4,471","3,965","2,617","2,040","1,989","1,614","1,639","1,164","1,104",743,609,526,366,264,168,105,58,26,13,9,140
 13 074 ,Tlaxcoapan,"18,264","2,263","2,519","2,583","2,164","1,684","1,460","1,227","1,087",699,606,472,381,326,272,147,112,83,47,14,9,4,105
 13 075 ,Tolcayuca,"8,011",948,"1,049","1,016",939,770,625,524,467,329,263,214,194,164,154,108,69,53,35,18,7,5,60
 13 076 ,Tula de Allende,"73,713","8,851","9,417","9,768","8,821","6,758","5,924","5,074","4,539","3,278","2,756","1,990","1,618","1,307","1,036",670,605,321,180,67,38,23,672
 13 077 ,Tulancingo de Bravo,"92,570","11,832","12,237","11,665","11,228","9,003","7,596","6,497","5,416","3,871","3,153","2,426","1,890","1,549","1,240",814,597,370,231,89,36,18,812
 13 078 ,Xochiatipan,"14,516","2,370","2,234","1,794","1,356","1,026","1,005",789,926,642,641,429,284,349,161,161,98,100,22,26,13,17,73
 13 079 ,Xochicoatlán,"7,983",977,"1,144","1,106",756,482,438,398,442,375,388,315,280,239,201,160,115,65,31,12,7,7,45
 13 080 ,Yahualica,"18,478","2,677","2,984","2,582","1,660","1,286","1,245",998,"1,193",835,815,556,358,433,226,237,116,99,34,34,14,10,86
 13 081 ,Zacualtipán de Angeles,"19,728","2,261","2,590","2,630","2,371","1,804","1,457","1,175","1,113",818,746,607,519,447,350,282,188,129,63,23,10,8,137
 13 082 ,Zapotlán de Juárez,"11,481","1,314","1,505","1,494","1,285","1,101",928,752,621,424,415,354,298,245,224,140,113,80,53,27,11,7,90
 13 083 ,Zempoala,"21,295","2,647","2,884","2,920","2,423","1,881","1,533","1,279","1,082",782,776,651,569,484,393,298,221,173,102,39,15,4,139
 13 084 ,Zimapán,"35,067","4,605","5,173","5,301","3,902","2,935","2,387","2,032","1,768","1,353","1,282",948,826,719,523,377,263,202,108,54,27,20,262
#NAME?,Jalisco,"5,302,689","671,649","695,463","681,667","643,430","491,687","390,128","337,131","289,603","231,557","190,247","151,319","120,026","105,816","85,330","64,662","47,547","30,814","17,241","7,097","2,805","1,158","46,312"
 14 001 ,Acatic,"16,434","2,500","2,498","2,478","1,980","1,251",947,821,744,654,553,464,393,301,277,198,170,79,54,29,12,9,22
 14 002 ,Acatlán de Juárez,"14,450","1,687","1,823","1,933","1,995","1,426","1,014",813,757,627,552,429,328,282,253,189,149,84,56,26,9,3,15
 14 003 ,Ahualulco de Mercado,"17,419","2,149","2,318","2,342","2,066","1,323","1,060","1,015",894,715,672,595,488,469,382,354,253,162,86,35,10,10,21
 14 004 ,Amacueca,"5,023",629,680,718,554,302,304,296,249,214,188,168,146,153,132,109,72,58,29,9,3,1,9
 14 005 ,Amatitán,"10,069","1,298","1,373","1,407","1,302",914,687,546,478,414,364,304,220,217,181,129,81,75,39,8,4,6,22
 14 006 ,Ameca,"54,555","6,336","6,992","7,862","7,376","4,481","3,389","3,042","2,773","2,374","2,010","1,707","1,401","1,287","1,126",889,632,435,225,102,37,16,63
 14 007 ,Antonio Escobedo,"8,197",977,"1,049","1,240","1,028",595,435,409,386,353,333,270,250,242,185,168,126,67,49,19,7,4,5
 14 008 ,Arandas,"63,279","9,148","9,655","9,242","7,676","5,389","4,156","3,359","2,871","2,335","2,065","1,757","1,456","1,088",932,806,542,372,168,96,39,16,111
 14 009 ,Arenal,"11,620","1,538","1,654","1,662","1,459","1,012",798,651,583,438,422,332,292,192,201,145,87,68,44,12,10,1,19
 14 010 ,Atemajac de Brizuela,"5,070",759,789,760,563,363,264,219,247,197,197,133,119,102,107,78,62,60,34,11,3,2,1
 14 011 ,Atengo,"5,525",668,768,788,670,402,283,265,239,214,240,197,166,157,127,107,82,72,45,16,11,2,6
 14 012 ,Atenguillo,"4,516",503,556,602,532,291,288,212,189,184,192,206,149,129,141,104,94,66,55,16,5,2,
 14 013 ,Atotonilco el Alto,"46,513","6,253","6,622","6,525","5,797","3,930","2,987","2,537","2,194","1,915","1,614","1,374","1,030",983,779,652,506,334,192,75,33,11,170
 14 014 ,Atoyac,"8,087",924,"1,008","1,109",937,596,496,396,413,332,353,282,243,236,215,204,124,105,54,29,11,4,16
 14 015 ,Autlán de Navarro,"46,747","5,990","6,173","6,261","5,762","3,862","3,299","2,834","2,372","1,940","1,683","1,455","1,180","1,027",902,737,553,306,222,104,42,17,26
 14 016 ,Ayotlán,"30,740","4,199","4,670","4,617","3,750","2,536","1,870","1,570","1,479","1,197","1,058",832,681,604,454,440,348,226,88,45,25,8,43
 14 017 ,Ayutla,"13,680","1,791","2,017","1,991","1,593",935,707,626,599,532,547,476,394,373,312,255,220,124,86,43,24,13,22
 14 018 ,La Barca,"52,845","6,531","6,922","7,597","6,707","4,410","3,401","2,980","2,656","2,361","2,058","1,532","1,265","1,237",970,784,555,438,215,88,34,18,86
 14 019 ,Bolaños,"6,393","1,070","1,061",922,679,528,435,361,293,208,176,144,121,99,70,82,57,34,18,9,13,7,6
 14 020 ,Cabo Corrientes,"8,146","1,180","1,196","1,146",838,592,474,433,410,348,279,257,225,181,183,138,84,70,43,16,5,2,46
 14 021 ,Casimiro Castillo,"21,738","3,003","3,018","3,200","2,710","1,653","1,338","1,256","1,137",868,768,622,515,494,376,297,223,117,73,33,13,5,19
 14 022 ,Cihuatlán,"24,855","3,274","3,481","3,611","3,091","2,069","1,808","1,498","1,366","1,064",800,663,512,496,403,277,180,108,67,27,17,9,34
 14 023 ,Ciudad Guzmán,"74,068","9,066","9,430","9,425","9,041","6,836","5,552","5,002","4,182","3,499","2,744","2,041","1,745","1,585","1,263",965,709,446,275,127,56,22,57
 14 024 ,Cocula,"24,600","2,760","3,379","3,516","3,077","1,935","1,373","1,333","1,198","1,032",946,832,679,664,577,458,351,221,150,44,25,11,39
 14 025 ,Colotlán,"15,762","2,015","2,073","2,097","1,965","1,344",957,813,698,620,572,566,479,367,335,284,228,166,109,45,10,3,16
 14 026 ,Concepción de Buenos Aires,"5,294",622,664,753,625,434,316,293,235,215,188,195,140,182,139,92,73,62,38,14,5,6,3
 14 027 ,Cuautitlán,"13,146","1,762","2,092","2,014","1,485",958,752,580,608,602,540,440,309,289,234,165,106,97,45,22,19,8,19
 14 028 ,Cuautla,"2,905",387,379,413,365,191,117,135,131,132,123,86,90,85,81,62,45,38,23,8,7,1,6
 14 029 ,Cuquío,"17,469","2,367","2,586","2,660","2,011","1,326",988,903,854,721,630,509,435,447,330,265,190,118,56,30,4,4,35
 14 030 ,Chapala,"35,578","4,471","4,550","4,667","4,470","3,072","2,284","2,075","1,754","1,457","1,302","1,140",922,938,806,612,443,311,155,70,22,12,45
 14 031 ,Chimaltitán,"3,304",477,474,462,371,228,167,138,137,135,134,108,80,102,67,64,66,48,25,8,9,1,3
 14 032 ,Chiquilistlán,"4,909",736,728,721,556,319,285,219,205,174,192,142,132,128,108,81,68,66,23,12,4,5,5
 14 033 ,Degollado,"20,405","2,955","3,057","3,118","2,487","1,690","1,242","1,049",891,788,696,564,417,400,312,241,214,130,73,26,10,9,36
 14 034 ,Ejutla,"2,244",253,331,301,255,125,126,108,93,95,70,89,85,95,61,43,38,44,23,5,2,,2
 14 035 ,Encarnación de Díaz,"42,341","5,894","6,075","6,171","4,943","3,490","2,748","2,399","2,040","1,690","1,549","1,202",979,930,708,554,418,278,148,53,23,8,41
 14 036 ,Etzatlán,"15,924","1,974","2,139","2,169","1,905","1,244",985,923,790,672,558,481,476,418,364,296,212,171,82,29,13,4,19
 14 037 ,El Grullo,"20,135","2,593","2,684","2,803","2,496","1,570","1,235","1,198",961,831,725,623,524,515,446,328,235,164,100,54,22,6,22
 14 038 ,Guachinango,"5,324",689,700,803,645,402,296,211,206,196,194,199,175,141,125,129,82,62,35,16,10,3,5
 14 039 ,Guadalajara,"1,650,205","186,986","192,550","186,633","203,269","172,935","135,534","114,555","96,875","78,478","62,962","50,417","39,894","35,272","28,231","20,604","15,049","9,346","5,162","1,980",729,243,"12,501"
 14 040 ,Hostotipaquillo,"8,069","1,086","1,135","1,121",991,710,451,364,355,343,281,264,196,210,175,134,91,91,44,8,6,4,9
 14 041 ,Huejúcar,"7,229",834,903,"1,100",838,536,395,343,307,287,314,315,252,197,192,139,92,81,66,25,6,,7
 14 042 ,Huejuquilla el Alto,"9,901","1,362","1,527","1,500","1,204",682,491,406,399,399,391,301,263,245,214,164,159,93,55,26,8,4,8
 14 043 ,La Huerta,"20,678","2,831","2,976","3,056","2,463","1,640","1,384","1,164",974,818,743,634,484,467,332,248,172,134,73,28,14,10,33
 14 044 ,Ixtlahuacán de los Membrillos,"16,674","2,220","2,250","2,337","2,099","1,546","1,158",983,814,671,567,457,369,334,279,225,140,104,54,31,16,4,16
 14 045 ,Ixtlahuacán del Río,"19,527","2,727","3,053","3,016","2,366","1,397","1,130",981,869,772,734,575,448,447,333,235,214,115,65,17,18,5,10
 14 046 ,Jalostotitlán,"24,497","3,367","3,515","3,526","3,028","1,909","1,446","1,274","1,207",953,880,753,562,531,453,370,319,198,106,42,17,4,37
 14 047 ,Jamay,"19,145","2,504","2,635","2,747","2,303","1,698","1,290","1,063","1,023",752,657,553,457,412,333,258,164,131,73,50,11,6,25
 14 048 ,Jesús María,"19,776","3,008","3,154","2,977","2,428","1,531","1,165",943,766,729,642,534,416,406,325,274,196,133,72,26,12,7,32
 14 049 ,Jilotlán de los Dolores,"8,595","1,295","1,372","1,298",969,680,524,424,358,351,295,284,183,192,115,96,65,47,22,14,7,3,1
 14 050 ,Jocotepec,"30,928","4,221","4,340","4,318","3,793","2,598","1,901","1,626","1,484","1,271","1,083",868,787,685,610,494,357,238,135,61,27,14,17
 14 051 ,Juanacatlán,"10,068","1,351","1,411","1,419","1,268",842,678,566,517,400,339,296,193,188,186,148,108,78,36,24,11,1,8
 14 052 ,Juchitlán,"6,127",754,830,868,725,432,321,287,258,240,249,219,185,190,164,157,92,74,53,14,3,4,8
 14 053 ,Lagos de Moreno,"106,157","15,310","15,555","15,093","12,853","9,314","7,404","6,231","5,231","4,082","3,332","2,683","2,184","2,030","1,475","1,092",874,640,382,154,62,18,158
 14 054 ,El Limón,"6,512",702,766,815,737,430,389,343,288,274,287,284,255,229,207,175,146,85,63,15,7,4,11
 14 055 ,Magdalena,"15,361","2,123","2,127","2,274","1,960","1,192",886,770,736,650,555,501,381,380,253,211,150,97,49,23,5,4,34
 14 056 ,Manuel M. Diéguez,"2,791",320,311,364,389,300,199,150,106,89,103,109,97,86,44,40,32,23,12,2,3,1,11
 14 057 ,La Manzanilla de la Paz,"3,547",444,449,491,391,267,234,186,189,134,158,127,98,104,81,72,48,26,22,13,2,3,8
 14 058 ,Mascota,"13,936","1,686","1,778","1,941","1,652","1,021",780,688,618,570,525,516,450,437,340,279,249,182,126,47,21,10,20
 14 059 ,Mazamitla,"10,226","1,347","1,440","1,439","1,256",901,676,600,474,391,352,317,252,207,166,148,97,72,30,23,11,3,24
 14 060 ,Mexticacán,"6,712",877,916,958,689,464,422,337,309,273,250,227,178,207,181,157,113,64,55,18,7,2,8
 14 061 ,Mezquitic,"14,080","2,142","2,337","2,037","1,526","1,060",907,675,652,456,459,371,350,281,229,187,152,98,65,31,11,11,43
 14 062 ,Mixtlán,"3,864",519,570,530,434,276,209,172,154,126,157,134,133,101,95,81,72,36,32,19,10,2,2
 14 063 ,Ocotlán,"69,646","8,770","8,916","9,371","8,793","6,087","4,977","4,582","4,205","3,276","2,532","1,910","1,526","1,320","1,019",844,622,446,248,88,28,12,74
 14 064 ,Ojuelos de Jalisco,"23,400","3,611","3,673","3,667","2,617","1,781","1,282","1,181",994,851,766,614,541,510,413,283,242,183,95,31,15,2,48
 14 065 ,Pihuamo,"16,340","2,186","2,207","2,170","2,015","1,471","1,033",901,784,687,621,511,409,379,309,239,150,145,70,24,20,8,1
 14 066 ,Poncitlán,"32,259","4,695","4,598","4,444","3,923","2,845","2,119","1,706","1,572","1,270","1,100",920,733,619,483,408,318,210,134,55,30,6,71
 14 067 ,Puerto Vallarta,"111,457","14,682","13,880","12,614","13,325","11,853","10,005","8,009","6,216","4,484","3,291","2,452","1,744","1,433","1,066",804,546,321,192,68,36,18,"4,418"
 14 068 ,Villa Purificación,"12,660","1,828","1,941","1,999","1,355",831,625,642,566,511,477,384,351,330,235,227,137,103,53,36,10,7,12
 14 069 ,Quitupan,"12,697","1,548","1,845","1,983","1,660","1,059",792,544,555,510,440,433,307,270,215,205,121,88,56,24,9,8,25
 14 070 ,El Salto,"38,281","5,645","5,732","5,336","4,607","3,475","2,875","2,494","2,027","1,446","1,152",915,715,602,437,308,193,119,76,32,19,9,67
 14 071 ,San Cristóbal de la Barranca,"4,684",776,736,668,568,372,290,226,200,171,171,120,109,92,64,47,34,21,7,4,3,,5
 14 072 ,San Diego de Alejandría,"6,005",851,942,902,665,372,329,303,308,232,196,170,154,161,131,85,79,65,38,10,3,5,4
 14 073 ,San Juan de los Lagos,"46,409","6,259","6,835","6,867","5,761","4,008","2,980","2,577","2,386","1,836","1,596","1,264",968,851,696,522,438,265,146,80,11,7,56
 14 074 ,San Julián,"13,089","2,013","2,075","1,903","1,502",938,804,723,611,492,448,368,303,252,211,156,116,84,50,23,9,5,3
 14 075 ,San Marcos,"3,164",404,421,453,380,242,164,145,153,129,123,103,104,75,72,69,51,36,20,5,2,1,12
 14 076 ,San Martín de Bolaños,"3,587",502,533,461,395,257,165,184,169,129,138,125,96,105,98,81,65,46,24,7,2,3,2
 14 077 ,San Martín Hidalgo,"26,505","3,004","3,393","3,639","3,146","1,987","1,619","1,462","1,374","1,158","1,124",960,851,738,627,527,367,267,140,57,19,5,41
 14 078 ,San Miguel el Alto,"23,598","3,250","3,588","3,307","2,707","1,965","1,506","1,355","1,173",969,862,688,541,483,354,289,223,167,77,37,15,7,35
 14 079 ,Gómez Farías,"11,699","1,606","1,737","1,650","1,385",908,769,625,614,472,417,325,264,238,207,181,116,83,52,25,7,5,13
 14 080 ,San Sebastián del Oeste,"6,754",981,993,992,760,463,409,295,259,223,283,244,181,194,131,124,84,75,38,12,3,5,5
 14 081 ,Santa María de los Angeles,"4,800",533,534,725,623,353,279,190,180,161,201,193,177,174,137,117,86,57,47,19,7,1,6
 14 082 ,Sayula,"27,940","3,550","3,730","3,763","3,442","2,445","1,940","1,664","1,506","1,173",957,773,681,648,510,398,326,203,133,65,13,2,18
 14 083 ,Tala,"45,313","5,589","5,951","6,199","5,931","3,947","2,978","2,647","2,400","1,937","1,692","1,315","1,053","1,025",889,630,490,323,161,71,22,8,55
 14 084 ,Talpa de Allende,"12,608","1,753","1,895","1,866","1,389",893,714,638,587,498,459,387,324,318,262,209,158,113,78,32,17,4,14
 14 085 ,Tamazula de Gordiano,"42,250","5,244","5,658","5,881","5,377","3,504","2,670","2,257","2,125","1,784","1,627","1,414","1,152",931,839,668,499,333,148,64,33,17,25
 14 086 ,Tapalpa,"12,167","1,798","1,843","1,785","1,426","1,028",785,615,541,411,379,345,299,247,200,161,122,75,50,33,10,6,8
 14 087 ,Tecalitlán,"18,000","2,326","2,497","2,459","2,229","1,464","1,144",938,875,820,695,553,459,422,332,277,204,159,81,39,17,7,3
 14 088 ,Tecolotlán,"15,537","1,804","2,093","2,266","1,880","1,123",928,766,703,588,656,551,471,434,424,312,219,174,69,37,23,7,9
 14 089 ,Techaluta de Montenegro,"3,168",430,440,484,352,210,165,143,150,141,134,101,103,96,71,43,43,27,25,6,3,1,
 14 090 ,Tenamaxtlán,"6,529",731,792,841,817,459,352,318,290,266,293,231,253,225,184,156,132,99,64,12,5,3,6
 14 091 ,Teocaltiche,"36,379","4,721","5,085","5,380","4,403","2,832","2,137","1,845","1,803","1,552","1,359","1,111",944,848,714,592,464,285,171,68,27,4,34
 14 092 ,Teocuitatlán de Corona,"12,766","1,423","1,568","1,884","1,597",960,730,672,580,510,513,475,382,406,317,276,199,145,72,30,12,8,7
 14 093 ,Tepatitlán de Morelos,"92,395","12,904","13,247","12,702","11,506","7,980","6,152","5,217","4,395","3,692","3,215","2,687","2,183","1,667","1,482","1,204",967,541,290,155,42,24,143
 14 094 ,Tequila,"28,088","3,842","3,893","3,915","3,636","2,495","1,762","1,504","1,443","1,160","1,000",819,604,556,470,352,245,192,87,38,19,5,51
 14 095 ,Teuchitlán,"7,778",822,982,"1,139","1,034",620,472,432,363,347,299,279,217,229,176,136,98,61,36,20,6,4,6
 14 096 ,Tizapán el Alto,"19,598","2,391","2,615","2,888","2,599","1,649","1,138","1,095",943,780,699,560,487,470,376,316,216,164,85,54,24,18,31
 14 097 ,Tlajomulco de Zúñiga,"68,428","9,514","9,671","9,364","8,400","6,347","4,832","3,985","3,539","2,718","2,314","1,852","1,433","1,284",998,757,553,371,208,100,35,21,132
 14 098 ,Tlaquepaque,"339,649","48,153","48,982","46,218","42,295","32,155","25,450","22,394","18,704","14,258","10,987","8,142","6,114","4,937","3,797","2,679","1,818","1,113",614,226,113,60,440
 14 099 ,Tolimán,"8,935","1,256","1,393","1,363",935,609,476,468,400,378,335,288,227,200,149,150,121,91,48,25,12,8,3
 14 100 ,Tomatlán,"30,750","4,587","4,822","4,715","3,573","2,265","1,987","1,725","1,514","1,180","1,028",849,626,566,427,302,220,141,74,41,17,9,82
 14 101 ,Tonalá,"168,555","23,812","24,078","21,615","18,291","15,668","14,125","12,276","9,458","6,292","4,834","3,417","2,675","2,144","1,569","1,059",706,448,243,109,43,20,"5,673"
 14 102 ,Tonaya,"6,685",806,898,934,810,446,369,355,289,276,273,274,197,207,160,133,97,61,59,29,4,4,4
 14 103 ,Tonila,"7,499",832,925,"1,002",943,651,513,420,386,332,316,242,185,183,173,119,125,74,47,18,6,4,3
 14 104 ,Totatiche,"6,518",706,829,995,821,436,293,279,236,221,261,263,263,174,214,160,138,106,72,28,11,6,6
 14 105 ,Tototlán,"18,717","2,417","2,550","2,731","2,455","1,680","1,124",966,907,736,666,569,435,401,345,283,185,116,68,29,13,5,36
 14 106 ,Tuxcacuesco,"4,357",525,663,666,510,272,209,204,192,176,172,153,148,105,98,95,65,50,29,11,7,1,6
 14 107 ,Tuxcueca,"5,548",633,800,835,668,387,320,298,243,210,170,175,158,172,138,138,85,63,29,18,4,1,3
 14 108 ,Tuxpan,"34,808","4,501","4,743","4,777","4,187","2,945","2,340","2,151","1,890","1,473","1,236","1,014",881,768,605,489,354,213,111,69,34,11,16
 14 109 ,Unión de San Antonio,"15,023","2,066","2,153","2,305","1,826","1,263",845,698,651,606,539,443,346,344,290,223,164,111,79,28,11,7,25
 14 110 ,Unión de Tula,"13,969","1,730","1,941","1,973","1,611","1,036",793,692,627,546,563,466,442,419,354,279,210,148,73,26,14,7,19
 14 111 ,Valle de Guadalupe,"5,480",693,739,791,716,421,309,278,269,219,200,177,161,142,111,87,71,43,28,11,5,2,7
 14 112 ,Valle de Juárez,"5,505",630,682,787,685,449,370,308,296,244,219,184,145,155,113,94,65,43,18,9,2,4,3
 14 113 ,Ciudad Venustiano Carranza,"14,280","1,878","2,004","2,158","1,630","1,004",775,680,654,590,578,472,375,376,337,280,208,142,87,30,13,5,4
 14 114 ,Villa Corona,"15,638","1,833","2,031","2,331","1,905","1,246",957,844,801,644,598,544,425,376,351,257,212,138,77,33,14,4,17
 14 115 ,Villa Guerrero,"6,374",741,927,934,743,374,337,237,260,253,260,257,255,181,168,134,119,87,66,23,13,3,2
 14 116 ,Villa Hidalgo,"12,814","1,821","1,803","1,878","1,529","1,150",845,706,611,497,446,331,325,254,189,131,132,97,40,13,8,3,5
 14 117 ,Cañadas de Obregón,"5,177",625,703,757,567,359,295,237,240,217,238,180,148,139,143,119,98,61,31,9,7,1,3
 14 118 ,Yahualica de González Gallo,"21,392","2,553","2,738","2,902","2,506","1,602","1,264","1,181","1,049",950,904,787,654,608,544,380,309,225,127,60,24,2,23
 14 119 ,Zacoalco de Torres,"24,669","3,046","3,253","3,431","2,886","1,969","1,485","1,298","1,191","1,008",959,855,720,648,597,488,336,245,161,49,25,7,12
 14 120 ,Zapopan,"712,008","90,604","91,392","84,977","82,793","68,217","57,205","52,249","44,569","33,364","24,417","17,209","12,501","10,314","8,100","5,524","4,086","2,300","1,261",484,167,76,"20,199"
 14 121 ,Zapotiltic,"27,981","3,497","3,720","3,859","3,442","2,401","1,852","1,569","1,489","1,205","1,091",886,707,625,510,429,290,202,112,57,23,7,8
 14 122 ,Zapotitlán de Vadillo,"6,310",841,960,935,626,406,324,290,293,259,279,238,197,165,135,131,102,53,52,16,2,4,2
 14 123 ,Zapotlán del Rey,"14,254","1,998","1,984","2,083","1,753","1,168",917,678,678,597,472,422,380,344,238,206,143,94,44,36,6,4,9
 14 124 ,Zapotlanejo,"39,902","5,435","5,647","5,784","5,126","3,500","2,591","2,121","1,842","1,590","1,375","1,175",909,764,649,521,336,235,116,47,19,4,116
#NAME?,México,"9,815,795","1,229,996","1,284,167","1,248,189","1,198,496","1,010,653","834,509","709,181","584,990","429,384","348,862","264,020","200,166","156,005","112,907","69,215","49,615","31,272","19,588","7,312","3,497","1,510","22,261"
 15 001 ,Acambay,"47,517","6,805","7,597","7,398","5,036","3,579","2,945","2,550","2,250","1,901","1,697","1,368","1,190",988,799,547,400,233,116,68,26,11,13
 15 002 ,Acolman,"43,276","5,029","5,485","5,489","5,345","4,285","3,473","3,095","2,547","1,929","1,519","1,367","1,018",853,631,430,299,192,140,41,26,10,73
 15 003 ,Aculco,"29,174","4,382","4,724","4,307","2,912","2,219","1,971","1,685","1,469",972,951,842,717,589,458,357,240,158,107,40,17,11,46
 15 004 ,Almoloya de Alquisiras,"12,021","1,923","1,878","1,793","1,236",934,823,647,531,397,385,330,273,251,223,116,94,78,52,30,17,4,6
 15 005 ,Almoloya de Juárez,"84,147","11,928","12,648","12,122","9,914","8,411","6,385","4,929","4,107","3,019","2,739","1,981","1,690","1,367","1,040",646,509,294,193,78,37,20,90
 15 006 ,Almoloya del Río,"6,777",845,943,863,772,624,534,474,385,270,205,217,177,128,100,68,67,39,32,15,7,2,10
 15 007 ,Amanalco,"15,702","2,384","2,595","2,446","1,643","1,247",963,799,759,569,548,419,394,299,240,126,94,64,29,28,17,12,27
 15 008 ,Amatepec,"28,185","4,127","4,595","4,405","3,066","1,850","1,510","1,337","1,261","1,079",965,892,777,735,532,351,243,212,128,64,23,20,13
 15 009 ,Amecameca,"36,321","4,332","4,711","4,785","4,305","3,496","2,897","2,514","1,996","1,431","1,323","1,089",905,759,614,354,324,229,123,51,31,5,47
 15 010 ,Apaxco,"18,500","2,393","2,292","2,564","2,467","1,872","1,484","1,256","1,030",701,638,442,372,302,243,166,118,72,51,17,7,5,8
 15 011 ,Atenco,"21,219","2,344","2,759","2,788","2,749","2,189","1,717","1,413","1,218",948,776,620,454,362,274,178,174,115,62,27,12,7,33
 15 012 ,Atizapán,"5,339",697,756,682,633,522,446,344,277,214,168,148,130,91,74,50,37,28,16,6,3,1,16
 15 013 ,Atizapán de Zaragoza,"315,192","37,823","39,656","38,428","37,956","30,839","27,599","26,364","22,380","16,166","11,891","8,098","5,384","4,017","2,730","1,777","1,149",660,391,141,64,28,"1,651"
 15 014 ,Atlacomulco,"54,067","7,766","8,544","7,896","5,985","4,705","4,078","3,315","2,786","2,028","1,791","1,326","1,105",875,667,457,303,190,106,44,17,8,75
 15 015 ,Atlautla,"18,993","2,453","2,719","2,657","2,213","1,679","1,409","1,078",981,705,649,565,482,390,323,209,172,125,95,39,18,8,24
 15 016 ,Axapusco,"15,803","1,956","2,216","2,312","1,816","1,342","1,179",926,827,608,547,416,429,327,305,189,174,104,71,27,19,3,10
 15 017 ,Ayapango,"4,239",577,521,586,520,427,311,273,205,166,151,124,88,92,64,48,34,32,15,3,1,,1
 15 018 ,Calimaya,"24,906","3,183","3,163","3,380","3,123","2,662","2,063","1,523","1,306",926,801,716,553,465,329,226,164,132,88,37,16,9,41
 15 019 ,Capulhuac,"21,258","2,639","2,731","2,642","2,668","2,174","1,707","1,429","1,196",870,713,565,534,385,347,193,173,107,97,31,23,7,27
 15 020 ,Coacalco,"152,082","15,978","18,113","18,275","18,491","14,652","13,312","12,785","11,042","8,772","6,518","4,401","2,944","2,195","1,565",991,726,423,213,82,31,9,564
 15 021 ,Coatepec Harinas,"27,940","4,438","4,364","4,207","3,140","2,282","1,883","1,576","1,280",945,785,692,612,579,399,248,196,128,86,34,19,10,37
 15 022 ,Cocotitlán,"8,068",981,961,"1,040",974,805,646,603,428,340,303,250,196,150,139,90,64,45,34,9,2,5,3
 15 023 ,Coyotepec,"24,451","3,374","3,486","3,409","2,899","2,472","2,020","1,605","1,274",919,790,569,454,396,279,155,145,77,73,30,15,4,6
 15 024 ,Cuautitlán,"48,858","5,995","6,187","5,816","5,758","5,113","4,567","4,035","3,119","2,092","1,674","1,181","1,057",792,549,301,237,158,120,48,11,12,36
 15 025 ,Chalco,"282,940","41,099","43,870","39,703","31,780","25,094","23,465","22,007","17,421","11,085","8,172","5,743","4,265","3,300","2,235","1,286",907,532,353,155,61,31,376
 15 026 ,Chapa de Mota,"17,581","2,617","2,926","2,701","1,709","1,309","1,139",963,868,661,620,454,421,374,295,177,135,103,50,23,13,4,19
 15 027 ,Chapultepec,"3,863",468,489,541,498,432,275,243,197,182,139,97,74,47,52,41,32,22,12,12,4,4,2
 15 028 ,Chiautla,"14,764","1,779","1,910","1,862","1,782","1,555","1,207","1,046",768,634,517,471,335,248,208,148,121,75,57,12,7,6,16
 15 029 ,Chicoloapan,"57,306","7,424","8,206","8,185","7,059","5,166","4,581","4,466","3,704","2,506","1,752","1,250",902,721,529,298,224,127,82,40,18,7,59
 15 030 ,Chiconcuac,"14,179","1,737","1,691","1,790","1,743","1,552","1,195","1,006",776,558,524,407,306,285,224,113,110,61,53,16,14,6,12
 15 031 ,Chimalhuacán,"242,317","35,494","37,360","35,037","28,601","21,845","19,751","18,358","14,888","9,697","6,944","4,609","3,122","2,311","1,581","1,001",699,415,266,103,51,33,151
 15 032 ,Donato Guerra,"21,510","3,388","3,574","3,348","2,455","1,808","1,388","1,075",994,726,651,570,431,367,284,179,93,71,38,30,15,9,16
