Área Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,,,,,,,,
,,Población Total,,,,,,,,,,,,,,,
,,Población total con estimación (Personas),,,,,,,,,,,,,,,
,,Tamaño localidad 15 tam,,,,,,,,,,,,,Sexo,,
Clave,Nombre,Total,"Menos de 2,500 habitantes",1 a 49  habitantes,50 a 99  habitantes,100 a 499 habitantes,500 a 999 habitantes,"1,000 a 1,999 habitantes","2,000 a 2,499 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas,Total,Hombres,Mujeres
14053,Lagos de Moreno,106157,39736,4048,3812,14026,10841,4905,2104,2775,63646,,,,106157,51739,54418
14054,El Limón,6512,3372,13,154,809,1166,1230,,3140,,,,,6512,3166,3346
14055,Magdalena,15361,4340,18,52,840,927,2503,,11021,,,,,15361,7366,7995
14056,Santa María del Oro,2791,2791,893,107,1129,662,,,,,,,,2791,1381,1410
14057,La Manzanilla de la Paz,3547,3547,87,229,326,549,,2356,,,,,,3547,1641,1906
14058,Mascota,13936,6540,1580,629,3278,1053,,,7396,,,,,13936,6748,7188
14059,Mazamitla,10226,4756,483,657,2916,700,,,5470,,,,,10226,4874,5352
14060,Mexticacán,6712,3560,611,509,2440,,,,3152,,,,,6712,2980,3732
14061,Mezquitic,14080,14080,3449,2147,6465,,,2019,,,,,,14080,6807,7273
14062,Mixtlán,3864,3864,200,219,930,858,1657,,,,,,,3864,1854,2010
14063,Ocotlán,69646,7051,183,144,2331,1652,2741,,,62595,,,,69646,33593,36053
14064,Ojuelos de Jalisco,23400,16135,450,388,3721,1522,7987,2067,7265,,,,,23400,11414,11986
14065,Pihuamo,16340,8015,1772,793,3565,1885,,,8325,,,,,16340,8056,8284
14066,Poncitlán,32259,11232,188,239,2932,2081,5792,,21027,,,,,32259,15760,16499
14067,Puerto Vallarta,111457,3895,223,171,3000,501,,,14059,93503,,,,111457,55815,55642
14068,Villa Purificación,12660,8363,1608,848,4280,1627,,,4297,,,,,12660,6284,6376
14069,Quitupan,12697,12697,812,947,5141,1929,1665,2203,,,,,,12697,5738,6959
14070,El Salto,38281,3986,133,,1710,511,1632,,34295,,,,,38281,19161,19120
14071,San Cristóbal de la Barranca,4684,4684,877,812,2082,913,,,,,,,,4684,2288,2396
14072,San Diego de Alejandría,6005,2489,1007,1058,424,,,,3516,,,,,6005,2871,3134
14073,San Juan de los Lagos,46409,11994,2202,1683,7128,981,,,,34415,,,,46409,22044,24365
14074,San Julián,13089,2845,881,579,832,553,,,10244,,,,,13089,6051,7038
14075,San Marcos,3164,349,206,,143,,,,2815,,,,,3164,1571,1593
14076,San Martín de Bolaños,3587,3587,755,552,410,,1870,,,,,,,3587,1756,1831
14077,San Martín Hidalgo,26505,11146,3,90,3205,2381,1077,4390,15359,,,,,26505,12553,13952
14078,San Miguel el Alto,23598,6098,1885,1247,2148,818,,,,17500,,,,23598,11024,12574
14079,Gómez Farías,11699,1705,128,159,543,875,,,9994,,,,,11699,5590,6109
14080,San Sebastián del Oeste,6754,6754,831,420,2951,1287,1265,,,,,,,6754,3373,3381
14081,Santa María de los Ángeles,4800,4800,118,136,2144,2402,,,,,,,,4800,2240,2560
14082,Sayula,27940,722,216,67,439,,,,5643,21575,,,,27940,13394,14546
14083,Tala,45313,10457,315,131,1600,,6203,2208,10293,24563,,,,45313,22250,23063
14084,Talpa de Allende,12608,6491,1634,519,3096,1242,,,6117,,,,,12608,6161,6447
14085,Tamazula de Gordiano,42250,19570,1761,1552,7514,4331,4412,,6441,16239,,,,42250,20410,21840
14086,Tapalpa,12167,7696,392,540,4319,603,1842,,4471,,,,,12167,5986,6181
14087,Tecalitlán,18000,4735,1987,834,967,947,,,13265,,,,,18000,8756,9244
14088,Tecolotlán,15537,8506,386,301,2499,1180,4140,,7031,,,,,15537,7587,7950
14089,Techaluta de Montenegro,3168,3168,84,57,192,686,,2149,,,,,,3168,1482,1686
14090,Tenamaxtlán,6529,2736,137,,963,1636,,,3793,,,,,6529,3119,3410
14091,Teocaltiche,36379,14150,961,1076,7996,2180,1937,,2602,19627,,,,36379,16848,19531
14092,Teocuitatlán de Corona,12766,8686,144,123,3328,2094,2997,,4080,,,,,12766,6117,6649
14093,Tepatitlán de Morelos,92395,20735,3272,3190,7901,1695,,4677,17624,54036,,,,92395,43991,48404
14094,Tequila,28088,10479,1817,1092,3854,1819,1897,,,17609,,,,28088,13790,14298
14095,Teuchitlán,7778,4506,15,66,,1148,3277,,3272,,,,,7778,3689,4089
14096,Tizapán el Alto,19598,3276,80,150,1169,1877,,,16322,,,,,19598,9549,10049
14097,Tlajomulco de Zúñiga,68428,21337,1449,212,2144,5805,9672,2055,47091,,,,,68428,33880,34548
14098,Tlaquepaque,339649,1446,43,89,367,947,,,10172,,328031,,,339649,167785,171864
14099,Tolimán,8935,6298,294,207,2134,2223,1440,,2637,,,,,8935,4394,4541
14100,Tomatlán,30750,23901,1392,1143,6651,5548,6949,2218,6849,,,,,30750,15686,15064
14101,Tonalá,168555,6865,324,74,1809,2801,1857,,10500,,151190,,,168555,86446,82109
14102,Tonaya,6685,3504,160,,2675,669,,,3181,,,,,6685,3166,3519
14103,Tonila,7499,864,37,,827,,,,6635,,,,,7499,3693,3806
14104,Totatiche,6518,6518,795,867,1348,,1478,2030,,,,,,6518,2982,3536
14105,Tototlán,18717,9510,330,499,4839,2795,1047,,9207,,,,,18717,9118,9599
14106,Tuxcacuesco,4357,4357,89,187,3016,,1065,,,,,,,4357,2167,2190
14107,Tuxcueca,5548,2828,97,156,734,533,1308,,2720,,,,,5548,2693,2855
14108,Tuxpan,34808,8913,429,488,2511,2361,3124,,,25895,,,,34808,16891,17917
14109,Unión de San Antonio,15023,10263,1448,1262,4548,1158,1847,,4760,,,,,15023,7050,7973
14110,Unión de Tula,13969,5551,315,117,3311,512,1296,,8418,,,,,13969,6731,7238
14111,Valle de Guadalupe,5480,1830,988,727,115,,,,3650,,,,,5480,2538,2942
14112,Valle de Juárez,5505,2239,517,193,899,630,,,3266,,,,,5505,2567,2938
14113,San Gabriel,14280,10158,468,187,3285,2087,4131,,4122,,,,,14280,7008,7272
14114,Villa Corona,15638,3641,,69,833,669,,2070,11997,,,,,15638,7507,8131
14115,Villa Guerrero,6374,2627,739,979,909,,,,3747,,,,,6374,3070,3304
14116,Villa Hidalgo,12814,4231,489,137,2045,,1560,,8583,,,,,12814,6015,6799
14117,Cañadas de Obregón,5177,5177,640,338,1825,,,2374,,,,,,5177,2314,2863
14118,Yahualica de González Gallo,21392,7986,1218,856,3312,,2600,,13406,,,,,21392,9641,11751
14119,Zacoalco de Torres,24669,10569,54,,1670,2785,3829,2231,14100,,,,,24669,11835,12834
14120,Zapopan,712008,18207,1744,577,4181,6535,2705,2465,25478,,668323,,,712008,346566,365442
14121,Zapotiltic,27981,4554,189,248,1322,2795,,,2904,20523,,,,27981,13402,14579
14122,Zapotitlán de Vadillo,6310,6310,292,525,2208,894,,2391,,,,,,6310,3051,3259
14123,Zapotlán del Rey,14254,11507,216,396,3398,2275,5222,,2747,,,,,14254,6990,7264
14124,Zapotlanejo,39902,19385,1616,1709,9339,3735,2986,,2664,17853,,,,39902,19274,20628
14125,San Ignacio Cerro Gordo,,,,,,,,,,,,,,,,
14996,No especificado,,,,,,,,,,,,,,,,
14997,Otros estados,,,,,,,,,,,,,,,,
14998,Otros municipios,,,,,,,,,,,,,,,,
15,México,9815795,1530588,16102,26863,371162,401163,537416,177882,1287484,854732,3669400,2473591,,9815795,4834549,4981246
15001,Acambay de Ruíz Castañeda,47517,40464,113,233,10733,11284,11475,6626,7053,,,,,47517,23759,23758
15002,Acolman,43276,4561,17,,243,694,1515,2092,12509,26206,,,,43276,20937,22339
15003,Aculco,29174,26159,99,142,8107,4399,13412,,3015,,,,,29174,14510,14664
15004,Almoloya de Alquisiras,12021,12021,,236,5352,2431,4002,,,,,,,12021,5676,6345
15005,Almoloya de Juárez,84147,55093,44,,6122,15182,29478,4267,29054,,,,,84147,42947,41200
15006,Almoloya del Río,6777,,,,,,,,6777,,,,,6777,3252,3525
15007,Amanalco,15702,15702,16,163,1622,4154,9747,,,,,,,15702,7901,7801
15008,Amatepec,28185,25657,1260,2000,17462,3184,1751,,2528,,,,,28185,13820,14365
15009,Amecameca,36321,8252,402,51,581,,7218,,2695,25374,,,,36321,17683,18638
15010,Apaxco,18500,5124,22,,657,2261,,2184,13376,,,,,18500,9209,9291
15011,Atenco,21219,4105,81,166,880,1277,1701,,17114,,,,,21219,10585,10634
15012,Atizapán,5339,799,,56,743,,,,4540,,,,,5339,2646,2693
15013,Atizapán de Zaragoza,315192,133,64,69,,,,,,,315059,,,315192,154321,160871
15014,Atlacomulco,54067,26766,181,319,3942,7267,13020,2037,27301,,,,,54067,26188,27879
15015,Atlautla,18993,1801,29,,360,1412,,,17192,,,,,18993,9386,9607
15016,Axapusco,15803,9329,161,119,2986,1945,1835,2283,6474,,,,,15803,7905,7898
15017,Ayapango,4239,4239,269,173,300,1554,1943,,,,,,,4239,2120,2119
15018,Calimaya,24906,6020,33,,,2606,3381,,18886,,,,,24906,12257,12649
15019,Capulhuac,21258,4691,,258,2329,,,2104,16567,,,,,21258,10394,10864
15020,Coacalco de Berriozábal,152082,827,34,,231,562,,,,,151255,,,152082,74063,78019
15021,Coatepec Harinas,27940,22676,14,126,6233,11511,4792,,5264,,,,,27940,13640,14300
15022,Cocotitlán,8068,1109,,105,,,1004,,6959,,,,,8068,4000,4068
15023,Coyotepec,24451,1682,39,,306,,1337,,,22769,,,,24451,12158,12293
15024,Cuautitlán,48858,4819,164,266,1806,1427,1156,,2867,41172,,,,48858,24081,24777
15025,Chalco,282940,7416,396,279,776,,1632,4333,51334,,224190,,,282940,141527,141413
15026,Chapa de Mota,17581,11762,46,441,3769,5202,,2304,5819,,,,,17581,8753,8828
15027,Chapultepec,3863,65,65,,,,,,3798,,,,,3863,1858,2005
15028,Chiautla,14764,7753,,,905,1285,1023,4540,7011,,,,,14764,7252,7512
15029,Chicoloapan,57306,,,,,,,,,57306,,,,57306,28294,29012
15030,Chiconcuac,14179,389,,,389,,,,13790,,,,,14179,6868,7311
15031,Chimalhuacán,242317,6730,36,,1394,2666,2634,,,,235587,,,242317,120940,121377
15032,Donato Guerra,21510,15778,18,,2245,4642,4167,4706,5732,,,,,21510,10856,10654
15033,Ecatepec de Morelos,1218135,,,,,,,,,,,1218135,,1218135,600410,617725
15034,Ecatzingo,5808,1593,54,,,1539,,,4215,,,,,5808,2891,2917
15035,Huehuetoca,25529,10416,58,53,,2666,7639,,15113,,,,,25529,12660,12869
15036,Hueypoxtla,26189,7540,24,,299,1270,5947,,18649,,,,,26189,13297,12892
15037,Huixquilucan,131926,20470,59,,3847,6259,10305,,37979,73477,,,,131926,62406,69520
15038,Isidro Fabela,5190,5190,152,61,1893,3084,,,,,,,,5190,2595,2595
15039,Ixtapaluca,137357,6561,298,435,610,,3159,2059,15085,,115711,,,137357,68533,68824
15040,Ixtapan de la Sal,24297,11038,10,,4008,3249,3771,,13259,,,,,24297,11742,12555
15041,Ixtapan del Oro,5880,5880,69,65,3021,1452,1273,,,,,,,5880,2993,2887
15042,Ixtlahuaca,88545,43561,32,182,2375,12216,19780,8976,44984,,,,,88545,42976,45569
15043,Xalatlaco,14047,5401,,55,2810,1311,1225,,8646,,,,,14047,6933,7114
15044,Jaltenco,22803,840,83,,757,,,,21963,,,,,22803,11306,11497
15045,Jilotepec,52609,41723,191,734,7958,8235,22541,2064,10886,,,,,52609,26281,26328
15046,Jilotzingo,9011,5946,,147,2190,2026,1583,,3065,,,,,9011,4601,4410
15047,Jiquipilco,44012,31029,82,60,6269,11787,10337,2494,12983,,,,,44012,21723,22289
15048,Jocotitlán,39077,17661,52,381,5701,7604,3923,,21416,,,,,39077,19235,19842
15049,Joquicingo,7769,2071,,,373,641,1057,,5698,,,,,7769,3859,3910
15050,Juchitepec,14270,49,49,,,,,,14221,,,,,14270,7057,7213
15051,Lerma,66912,28138,53,50,1988,5883,15672,4492,38774,,,,,66912,33329,33583
15052,Malinalco,16872,11487,231,287,5310,1584,4075,,5385,,,,,16872,8350,8522
15053,Melchor Ocampo,26154,3065,140,60,776,,,2089,,23089,,,,26154,12955,13199
15054,Metepec,140268,6592,75,,,723,3592,2202,17473,,116203,,,140268,68257,72011
15055,Mexicaltzingo,7248,810,20,,,790,,,6438,,,,,7248,3557,3691
15056,Morelos,21853,13752,64,,3214,3232,2897,4345,8101,,,,,21853,10815,11038
15057,Naucalpan de Juárez,786551,9638,208,457,4179,1167,1213,2414,4430,,772483,,,786551,387272,399279
15058,Nezahualcóyotl,1256115,659,8,,,651,,,,,,1255456,,1256115,615947,640168
15059,Nextlalpan,10840,3394,281,78,605,543,1887,,7446,,,,,10840,5327,5513
15060,Nicolás Romero,184134,13249,159,,2774,3269,7047,,24543,,146342,,,184134,91328,92806
15061,Nopaltepec,5234,5234,11,89,,702,,4432,,,,,,5234,2697,2537
15062,Ocoyoacac,37395,6755,224,153,1771,2825,1782,,13009,17631,,,,37395,18465,18930
15063,Ocuilan,19043,19043,55,255,5361,3674,5119,4579,,,,,,19043,9718,9325
15064,El Oro,25490,25490,19,179,7669,7449,3785,6389,,,,,,25490,12511,12979
15065,Otumba,21834,11705,317,244,1570,1445,5774,2355,10129,,,,,21834,10945,10889
15066,Otzoloapan,4018,4018,253,456,2007,,1302,,,,,,,4018,2059,1959
15067,Otzolotepec,40407,17637,,54,2495,5177,7721,2190,22770,,,,,40407,19936,20471
15068,Ozumba,18052,4601,159,58,399,992,2993,,13451,,,,,18052,8755,9297
15069,Papalotla,2387,2387,,,192,,,2195,,,,,,2387,1173,1214
15070,La Paz,134782,238,,,238,,,,,,134544,,,134782,66515,68267
15071,Polotitlán,9714,9714,179,287,3459,3486,,2303,,,,,,9714,4901,4813
15072,Rayón,7026,1524,42,,,,1482,,5502,,,,,7026,3482,3544
15073,San Antonio la Isla,7321,12,12,,,,,,7309,,,,,7321,3677,3644
15074,San Felipe del Progreso,140834,119511,232,782,21990,29564,47007,19936,21323,,,,,140834,69590,71244
15075,San Martín de las Pirámides,13563,5136,99,88,857,1973,2119,,8427,,,,,13563,6807,6756
15076,San Mateo Atenco,41926,5699,,89,323,773,4514,,,36227,,,,41926,20580,21346
15077,San Simón de Guerrero,3887,3887,157,,1794,603,1333,,,,,,,3887,1902,1985
15078,Santo Tomás,7068,4196,82,493,3094,527,,,2872,,,,,7068,3504,3564
15079,Soyaniquilpan de Juárez,7997,7997,40,52,3173,4732,,,,,,,,7997,4071,3926
15080,Sultepec,23462,20865,125,856,11393,3780,4711,,2597,,,,,23462,11470,11992
15081,Tecámac,123218,2548,391,79,856,,1222,,37686,82984,,,,123218,60886,62332
15082,Tejupilco,74985,50127,1985,2893,29631,12046,3572,,9384,15474,,,,74985,36574,38411
15083,Temamatla,5366,2464,210,,,1131,1123,,2902,,,,,5366,2684,2682
15084,Temascalapa,19099,10082,85,189,1167,2281,1800,4560,9017,,,,,19099,9625,9474
15085,Temascalcingo,51269,30798,71,430,6719,11310,12268,,20471,,,,,51269,25307,25962
15086,Temascaltepec,26968,26968,114,377,6971,9174,10332,,,,,,,26968,13517,13451
15087,Temoaya,49427,31530,11,178,3524,5943,15253,6621,17897,,,,,49427,24370,25057
15088,Tenancingo,60300,31631,68,194,6063,7304,11283,6719,3895,24774,,,,60300,29834,30466
15089,Tenango del Aire,6207,2704,143,,,,2561,,3503,,,,,6207,3086,3121
15090,Tenango del Valle,45952,10077,117,376,1370,1822,4021,2371,35875,,,,,45952,22566,23386
15091,Teoloyucan,41964,6773,30,88,640,1656,2304,2055,3506,31685,,,,41964,20830,21134
15092,Teotihuacán,30486,3849,195,79,2401,1174,,,26637,,,,,30486,15063,15423
15093,Tepetlaoxtoc,16120,9459,224,165,1132,2890,2716,2332,6661,,,,,16120,8080,8040
15094,Tepetlixpa,12687,3307,55,,105,,3147,,9380,,,,,12687,6390,6297
15095,Tepotzotlán,39647,6677,98,129,1519,1225,1548,2158,8870,24100,,,,39647,19661,19986
15096,Tequixquiac,20784,2218,65,73,684,,1396,,18566,,,,,20784,10459,10325
15097,Texcaltitlán,12468,12468,,144,5841,2640,3843,,,,,,,12468,6224,6244
15098,Texcalyacac,2961,,,,,,,,2961,,,,,2961,1442,1519
15099,Texcoco,140368,10934,300,700,2434,824,6676,,55240,74194,,,,140368,70834,69534
15100,Tezoyuca,12416,2780,46,184,,709,1841,,9636,,,,,12416,6152,6264
15101,Tianguistenco,42448,10353,131,59,3446,3194,3523,,32095,,,,,42448,20734,21714
15102,Timilpan,12059,12059,13,,2045,3461,4439,2101,,,,,,12059,6099,5960
15103,Tlalmanalco,32984,6514,477,122,1005,,4910,,9892,16578,,,,32984,16287,16697
15104,Tlalnepantla de Baz,702807,537,,,,537,,,,,702270,,,702807,343974,358833
15105,Tlatlaya,33914,33914,1070,2708,16201,9378,2430,2127,,,,,,33914,16726,17188
15106,Toluca,487612,62614,231,371,7324,11153,28002,15533,81002,16131,327865,,,487612,235873,251739
15107,Tonatico,9712,3399,,166,2483,750,,,6313,,,,,9712,4600,5112
15108,Tultepec,47323,2732,181,137,1303,,1111,,,44591,,,,47323,23266,24057
15109,Tultitlán,246464,3164,16,111,185,722,2130,,,128647,114653,,,246464,121678,124786
15110,Valle de Bravo,36135,15338,269,709,7692,5577,1091,,5325,15472,,,,36135,17848,18287
15111,Villa de Allende,28743,25964,64,148,7579,12220,3771,2182,2779,,,,,28743,14219,14524
15112,Villa del Carbón,27283,16553,173,608,5393,5701,4678,,10730,,,,,27283,13721,13562
15113,Villa Guerrero,39233,26590,90,219,3846,8942,13493,,12643,,,,,39233,19555,19678
15114,Villa Victoria,58566,58566,132,307,9893,25206,20624,2404,,,,,,58566,29552,29014
15115,Xonacatlán,28837,9233,,278,4225,2665,,2065,19604,,,,,28837,14298,14539
15116,Zacazonapan,2404,2404,71,131,720,,1482,,,,,,,2404,1222,1182
15117,Zacualpan,14383,11621,358,1228,7366,2669,,,2762,,,,,14383,6898,7485
15118,Zinacantepec,83197,24913,52,532,4531,3698,11493,4607,30787,27497,,,,83197,41465,41732
15119,Zumpahuacán,11500,8550,47,222,3642,2102,2537,,2950,,,,,11500,5680,5820
15120,Zumpango,71413,18507,458,,1420,3041,6531,7057,23552,29354,,,,71413,35398,36015
15121,Cuautitlán Izcalli,326750,4345,,87,591,2190,1477,,9167,,313238,,,326750,160693,166057
15122,Valle de Chalco Solidaridad,,,,,,,,,,,,,,,,
15123,Luvianos,,,,,,,,,,,,,,,,
15124,San José del Rincón,,,,,,,,,,,,,,,,
15125,Tonanitla,,,,,,,,,,,,,,,,
15996,No especificado,,,,,,,,,,,,,,,,
15997,Otros estados,,,,,,,,,,,,,,,,
15998,Otros municipios,,,,,,,,,,,,,,,,
16,Michoacán de Ocampo,3548199,1361845,74104,61214,409055,322769,339518,155185,747111,713383,725860,,,3548199,1718763,1829436
16001,Acuitzio,9254,4288,273,644,2844,527,,,4966,,,,,9254,4394,4860
16002,Aguililla,17424,9846,2194,695,812,2663,1180,2302,7578,,,,,17424,8537,8887
16003,Álvaro Obregón,19858,12139,176,148,2834,5270,3711,,7719,,,,,19858,9628,10230
16004,Angamacutiro,16164,11075,112,234,1918,3276,5535,,5089,,,,,16164,7659,8505
16005,Angangueo,9942,5363,49,91,1742,3481,,,4579,,,,,9942,4860,5082
16006,Apatzingán,100926,24283,1531,1097,7485,8713,3425,2032,,76643,,,,100926,50116,50810
16007,Aporo,2492,2492,66,93,789,,1544,,,,,,,2492,1192,1300
16008,Aquila,20275,20275,6173,3141,6544,1528,2889,,,,,,,20275,10192,10083
16009,Ario,29900,16851,946,1635,9150,4112,1008,,13049,,,,,29900,14527,15373
16010,Arteaga,22917,12008,3997,1610,2709,1279,,2413,10909,,,,,22917,11289,11628
16011,Briseñas,9478,5767,1,,,,3595,2171,3711,,,,,9478,4434,5044
16012,Buenavista,36214,16843,662,461,4723,4275,2610,4112,19371,,,,,36214,18004,18210
16013,Carácuaro,9680,9680,2725,1364,1912,,1225,2454,,,,,,9680,4875,4805
16014,Coahuayana,13378,7550,592,89,3025,1525,,2319,5828,,,,,13378,6784,6594
16015,Coalcomán de Vázquez Pallares,18689,11169,5706,1742,2385,1336,,,7520,,,,,18689,9265,9424
16016,Coeneo,27688,20373,137,132,3880,4343,11881,,7315,,,,,27688,13030,14658
16017,Contepec,24915,20952,151,402,6207,6831,7361,,3963,,,,,24915,12465,12450
16018,Copándaro,9132,5296,48,60,613,2268,2307,,3836,,,,,9132,4340,4792
16019,Cotija,19773,7220,706,481,5139,894,,,12553,,,,,19773,9205,10568
16020,Cuitzeo,25042,14266,37,79,1095,1070,7226,4759,10776,,,,,25042,11955,13087
16021,Charapan,10617,4041,14,,,,1743,2284,6576,,,,,10617,5050,5567
16022,Charo,16213,12270,479,432,4817,2155,4387,,3943,,,,,16213,8085,8128
16023,Chavinda,12472,5035,3,,262,1981,2789,,7437,,,,,12472,5713,6759
16024,Cherán,14870,183,,,183,,,,14687,,,,,14870,7139,7731
16025,Chilchota,26349,7661,,56,746,1617,3084,2158,18688,,,,,26349,12648,13701
16026,Chinicuila,6795,6795,2198,828,3013,756,,,,,,,,6795,3500,3295
16027,Chucándiro,8201,8201,50,248,2634,1981,1197,2091,,,,,,8201,3769,4432
16028,Churintzio,10256,7176,4,115,2234,2746,2077,,3080,,,,,10256,4905,5351
16029,Churumuco,14789,10989,957,1004,6793,667,1568,,3800,,,,,14789,7371,7418
16030,Ecuandureo,15945,8582,35,,2859,2205,3483,,7363,,,,,15945,7361,8584
16031,Epitacio Huerta,15419,15419,49,719,8128,5263,1260,,,,,,,15419,7695,7724
16032,Erongarícuaro,11930,11930,29,,1783,3008,4654,2456,,,,,,11930,5842,6088
16033,Gabriel Zamora,18931,8728,292,733,1472,,6231,,10203,,,,,18931,9498,9433
16034,Hidalgo,94049,36376,2429,3232,13674,8878,6014,2149,9197,48476,,,,94049,45620,48429
16035,La Huacana,35333,23545,1197,1306,13081,4156,1590,2215,11788,,,,,35333,17688,17645
16036,Huandacareo,13189,5870,,52,,2091,1657,2070,7319,,,,,13189,6450,6739
16037,Huaniqueo,12821,9519,59,50,4490,2373,2547,,3302,,,,,12821,6019,6802
16038,Huetamo,44010,26239,3604,3584,10781,5222,3048,,,17771,,,,44010,21245,22765
16039,Huiramba,6030,6030,19,445,1379,1785,,2402,,,,,,6030,3033,2997
16040,Indaparapeo,14750,8262,276,449,2322,3199,,2016,6488,,,,,14750,7302,7448
16041,Irimbo,10219,10219,184,218,3193,756,1138,4730,,,,,,10219,4945,5274
16042,Ixtlán,15510,10158,,,254,3557,4127,2220,5352,,,,,15510,7464,8046
16043,Jacona,40546,2041,153,,562,1326,,,2659,35846,,,,40546,19375,21171
16044,Jiménez,17474,12406,3,92,2816,2686,2196,4613,5068,,,,,17474,8417,9057
16045,Jiquilpan,36709,8107,180,394,1448,1362,2484,2239,3871,24731,,,,36709,17252,19457
16046,Juárez,9860,9860,314,331,2314,2579,1863,2459,,,,,,9860,4890,4970
16047,Jungapeo,14391,9551,754,773,3708,2923,1393,,4840,,,,,14391,7252,7139
16048,Lagunillas,5016,5016,34,65,1810,925,,2182,,,,,,5016,2492,2524
16049,Madero,15339,11330,2838,1842,5131,,1519,,4009,,,,,15339,7676,7663
16050,Maravatío,59803,33835,302,854,17756,7448,5141,2334,3835,22133,,,,59803,29770,30033
16051,Marcos Castellanos,10412,3170,175,251,1251,1493,,,7242,,,,,10412,4866,5546
16052,Lázaro Cárdenas,134969,16167,1233,889,5264,2685,1874,4222,30643,88159,,,,134969,67960,67009
16053,Morelia,492901,53293,821,1035,18825,13944,14070,4598,11122,,428486,,,492901,237284,255617
16054,Morelos,12388,9315,68,387,4212,3620,1028,,3073,,,,,12388,5999,6389
16055,Múgica,38399,8317,449,466,445,2967,1788,2202,3074,27008,,,,38399,18969,19430
16056,Nahuatzen,20725,10517,23,68,244,,3036,7146,10208,,,,,20725,9911,10814
16057,Nocupétaro,8529,5614,2036,1193,1866,519,,,2915,,,,,8529,4329,4200
16058,Nuevo Parangaricutiro,13265,3500,637,626,1732,505,,,9765,,,,,13265,6412,6853
16059,Nuevo Urecho,8816,8816,333,539,1815,3160,2969,,,,,,,8816,4534,4282
16060,Numarán,10128,5892,29,,1132,2598,,2133,4236,,,,,10128,4842,5286
16061,Ocampo,12436,12436,156,481,4410,3896,1198,2295,,,,,,12436,6241,6195
16062,Pajacuarán,19678,6820,,243,1120,500,2823,2134,12858,,,,,19678,9173,10505
16063,Panindícuaro,21342,15172,,,4864,1453,6410,2445,6170,,,,,21342,10183,11159
16064,Parácuaro,21708,11324,417,310,4580,4433,1584,,10384,,,,,21708,10980,10728
16065,Paracho,28632,11352,,74,,,4894,6384,17280,,,,,28632,13718,14914
16066,Pátzcuaro,66736,19646,157,236,6727,3936,6244,2346,4631,42459,,,,66736,31940,34796
16067,Penjamillo,23965,19828,260,601,3100,3600,9996,2271,4137,,,,,23965,11578,12387
16068,Peribán,16005,6826,444,481,2590,938,2373,,9179,,,,,16005,7927,8078
16069,La Piedad,81162,18537,313,756,5275,7035,2928,2230,,62625,,,,81162,37756,43406
16070,Purépero,14674,1772,30,89,,614,1039,,12902,,,,,14674,6843,7831
16071,Puruándiro,70887,39658,22,76,1802,8349,18337,11072,6991,24238,,,,70887,33296,37591
16072,Queréndaro,12742,4392,279,133,1532,1178,1270,,8350,,,,,12742,6273,6469
16073,Quiroga,21917,3788,18,88,1502,,,2180,18129,,,,,21917,10588,11329
16074,Cojumatlán de Régules,10412,3676,,,2503,,1173,,6736,,,,,10412,4987,5425
16075,Los Reyes,50029,14744,153,302,2873,2624,6660,2132,2811,32474,,,,50029,24277,25752
16076,Sahuayo,53945,3482,99,205,1472,1706,,,,50463,,,,53945,25603,28342
16077,San Lucas,18978,14329,473,742,4942,4970,1083,2119,4649,,,,,18978,9152,9826
16078,Santa Ana Maya,15110,9323,24,98,2558,1483,5160,,5787,,,,,15110,7245,7865
16079,Salvador Escalante,31207,15653,389,532,8088,2118,2337,2189,15554,,,,,31207,15168,16039
16080,Senguio,15446,15446,198,341,3035,7735,1731,2406,,,,,,15446,7651,7795
16081,Susupuato,8008,8008,626,937,2968,3477,,,,,,,,8008,4056,3952
16082,Tacámbaro,52315,29814,1143,1951,14191,8103,4426,,6014,16487,,,,52315,25803,26512
16083,Tancítaro,21029,17376,314,1045,7749,4993,1273,2002,3653,,,,,21029,10408,10621
16084,Tangamandapio,21261,4352,58,203,778,1908,1405,,16909,,,,,21261,10188,11073
16085,Tangancícuaro,33835,13975,103,,2780,3460,7632,,3769,16091,,,,33835,16045,17790
16086,Tanhuato,13868,7448,26,,507,2254,4661,,6420,,,,,13868,6598,7270
16087,Taretan,12606,6472,108,,2887,1048,2429,,6134,,,,,12606,6255,6351
16088,Tarímbaro,33871,19768,103,168,3797,9724,5976,,14103,,,,,33871,16658,17213
16089,Tepalcatepec,25105,10278,724,461,5778,3315,,,14827,,,,,25105,12483,12622
16090,Tingambato,9748,818,38,145,635,,,,8930,,,,,9748,4624,5124
16091,Tingüindín,12561,6914,96,141,2476,1769,,2432,5647,,,,,12561,5964,6597
16092,Tiquicheo de Nicolás Romero,15969,11575,2546,1304,3694,2514,1517,,4394,,,,,15969,7846,8123
16093,Tlalpujahua,21292,18450,24,51,7768,7043,3564,,2842,,,,,21292,10220,11072
16094,Tlazazalca,12173,8248,67,269,2734,1508,1430,2240,3925,,,,,12173,5961,6212
16095,Tocumbo,11862,5732,408,356,684,1857,,2427,6130,,,,,11862,5695,6167
